gene:Os01g0106300 gene:Os01g0106400
gene:Os10g0122300 gene:Os10g0122500
gene:Os10g0122200 gene:Os10g0122400
gene:Os10g0123900 gene:Os10g0124200
gene:Os10g0124700 gene:Os10g0125300
gene:Os10g0125300 gene:Os10g0126000
gene:Os10g0126000 gene:Os10g0126500
gene:Os10g0126500 gene:Os10g0126600
gene:Os10g0126500 gene:Os10g0126700
gene:Os10g0126600 gene:Os10g0126700
gene:Os10g0126600 gene:Os10g0126800
gene:Os10g0126700 gene:Os10g0126800
gene:Os10g0126700 gene:Os10g0127000
gene:Os10g0126800 gene:Os10g0127000
gene:Os10g0126800 gene:Os10g0127900
gene:Os10g0127000 gene:Os10g0127900
gene:Os10g0127900 gene:Os10g0128200
gene:Os10g0127900 gene:Os10g0128600
gene:Os10g0128200 gene:Os10g0128600
gene:Os10g0128600 gene:Os10g0129100
gene:Os10g0128700 gene:Os10g0128900
gene:Os10g0130066 gene:Os10g0130132
gene:Os10g0130200 gene:Os10g0130300
gene:Os10g0130600 gene:Os10g0130800
gene:Os10g0130800 gene:Os10g0131100
gene:Os10g0133166 gene:Os10g0133600
gene:Os10g0133600 gene:Os10g0133800
gene:Os10g0133600 gene:Os10g0134033
gene:Os10g0133800 gene:Os10g0134033
gene:Os10g0133800 gene:Os10g0134500
gene:Os10g0134033 gene:Os10g0134500
gene:Os10g0134500 gene:Os10g0134700
gene:Os10g0134700 gene:Os10g0134800
gene:Os10g0134700 gene:Os10g0134900
gene:Os10g0134800 gene:Os10g0134900
gene:Os10g0134800 gene:Os10g0135100
gene:Os10g0134900 gene:Os10g0135100
gene:Os10g0135300 gene:Os10g0135400
gene:Os10g0135300 gene:Os10g0135500
gene:Os10g0135400 gene:Os10g0135500
gene:Os10g0136150 gene:Os10g0136200
gene:Os10g0136400 gene:Os10g0136500
gene:Os10g0136900 gene:Os10g0137000
gene:Os10g0137000 gene:Os10g0137700
gene:Os10g0137700 gene:Os10g0138000
gene:Os10g0138300 gene:Os10g0138600
gene:Os10g0141200 gene:Os10g0141300
gene:Os10g0143200 gene:Os10g0144000
gene:Os10g0145000 gene:Os10g0145100
gene:Os10g0145000 gene:Os10g0145200
gene:Os10g0145100 gene:Os10g0145200
gene:Os10g0146200 gene:Os10g0147200
gene:Os10g0146601 gene:Os10g0146901
gene:Os10g0148100 gene:Os10g0148700
gene:Os10g0148700 gene:Os10g0149000
gene:Os10g0149000 gene:Os10g0149100
gene:Os10g0149000 gene:Os10g0149200
gene:Os10g0149100 gene:Os10g0149200
gene:Os10g0149100 gene:Os10g0149400
gene:Os10g0149200 gene:Os10g0149400
gene:Os10g0149200 gene:Os10g0149800
gene:Os10g0149400 gene:Os10g0149800
gene:Os10g0149800 gene:Os10g0150000
gene:Os10g0149800 gene:Os10g0150300
gene:Os10g0150000 gene:Os10g0150400
gene:Os10g0150300 gene:Os10g0150400
gene:Os10g0150300 gene:Os10g0150600
gene:Os10g0150400 gene:Os10g0150600
gene:Os10g0150400 gene:Os10g0150700
gene:Os10g0150600 gene:Os10g0150700
gene:Os10g0150600 gene:Os10g0150800
gene:Os10g0150700 gene:Os10g0150800
gene:Os10g0151100 gene:Os10g0151500
gene:Os10g0151233 gene:Os10g0151650
gene:Os10g0151500 gene:Os10g0152000
gene:Os10g0153900 gene:Os10g0154500
gene:Os10g0154700 gene:Os10g0154900
gene:Os10g0155700 gene:Os10g0155800
gene:Os10g0155900 gene:Os10g0156200
gene:Os10g0155900 gene:Os10g0157200
gene:Os10g0156200 gene:Os10g0157200
gene:Os10g0157200 gene:Os10g0157400
gene:Os10g0162840 gene:Os10g0162844
gene:Os10g0162838 gene:Os10g0162842
gene:Os10g0162846 gene:Os10g0163040
gene:Os10g0162854 gene:Os10g0163040
gene:Os10g0163310 gene:Os10g0163370
gene:Os10g0164500 gene:Os10g0165300
gene:Os10g0165300 gene:Os10g0166600
gene:Os10g0166600 gene:Os10g0167200
gene:Os10g0166600 gene:Os10g0167250
gene:Os10g0167900 gene:Os10g0168300
gene:Os10g0168000 gene:Os10g0168200
gene:Os10g0168300 gene:Os10g0168500
gene:Os10g0174548 gene:Os10g0174800
gene:Os10g0178800 gene:Os10g0180800
gene:Os10g0193100 gene:Os10g0193500
gene:Os10g0197101 gene:Os10g0197700
gene:Os10g0198900 gene:Os10g0199500
gene:Os10g0204300 gene:Os10g0204400
gene:Os10g0323600 gene:Os10g0323900
gene:Os10g0326400 gene:Os10g0326800
gene:Os10g0326900 gene:Os10g0327000
gene:Os10g0327050 gene:Os10g0327201
gene:Os10g0331600 gene:Os10g0332000
gene:Os10g0331500 gene:Os10g0331866
gene:Os10g0332000 gene:Os10g0332300
gene:Os10g0333700 gene:Os10g0334500
gene:Os10g0333700 gene:Os10g0335000
gene:Os10g0334500 gene:Os10g0335000
gene:Os10g0336300 gene:Os10g0337400
gene:Os10g0339290 gene:Os10g0339600
gene:Os10g0341750 gene:Os10g0342650
gene:Os10g0344000 gene:Os10g0344500
gene:Os10g0344000 gene:Os10g0344900
gene:Os10g0344500 gene:Os10g0344900
gene:Os10g0344900 gene:Os10g0345100
gene:Os10g0349300 gene:Os10g0349400
gene:Os10g0349300 gene:Os10g0349600
gene:Os10g0349400 gene:Os10g0349600
gene:Os10g0349400 gene:Os10g0349900
gene:Os10g0349600 gene:Os10g0349900
gene:Os10g0351600 gene:Os10g0351700
gene:Os10g0361000 gene:Os10g0361300
gene:Os10g0361000 gene:Os10g0361900
gene:Os10g0361300 gene:Os10g0361900
gene:Os10g0370500 gene:Os10g0370800
gene:Os10g0374600 gene:Os10g0375000
gene:Os10g0378000 gene:Os10g0378100
gene:Os10g0379100 gene:Os10g0380100
gene:Os10g0389100 gene:Os10g0389200
gene:Os10g0389100 gene:Os10g0389300
gene:Os10g0389200 gene:Os10g0389300
gene:Os10g0390500 gene:Os10g0390600
gene:Os10g0391400 gene:Os10g0391801
gene:Os10g0392800 gene:Os10g0393600
gene:Os10g0392900 gene:Os10g0393700
gene:Os10g0393600 gene:Os10g0393800
gene:Os10g0393700 gene:Os10g0393800
gene:Os10g0393700 gene:Os10g0394000
gene:Os10g0393800 gene:Os10g0394000
gene:Os10g0399100 gene:Os10g0399200
gene:Os10g0399100 gene:Os10g0399700
gene:Os10g0399200 gene:Os10g0399700
gene:Os10g0403800 gene:Os10g0404300
gene:Os10g0407400 gene:Os10g0407500
gene:Os10g0413700 gene:Os10g0413900
gene:Os10g0413700 gene:Os10g0414000
gene:Os10g0413900 gene:Os10g0414000
gene:Os10g0415600 gene:Os10g0415800
gene:Os10g0416100 gene:Os10g0416500
gene:Os10g0416500 gene:Os10g0416800
gene:Os10g0419400 gene:Os10g0419500
gene:Os10g0420800 gene:Os10g0421500
gene:Os10g0423300 gene:Os10g0423400
gene:Os10g0423300 gene:Os10g0423800
gene:Os10g0423400 gene:Os10g0423800
gene:Os10g0423800 gene:Os10g0423900
gene:Os10g0423800 gene:Os10g0425400
gene:Os10g0423900 gene:Os10g0425400
gene:Os10g0424100 gene:Os10g0425400
gene:Os10g0425400 gene:Os10g0425900
gene:Os10g0425700 gene:Os10g0425900
gene:Os10g0427600 gene:Os10g0428500
gene:Os10g0428900 gene:Os10g0429300
gene:Os10g0429200 gene:Os10g0429300
gene:Os10g0429200 gene:Os10g0429600
gene:Os10g0429300 gene:Os10g0429600
gene:Os10g0429300 gene:Os10g0429651
gene:Os10g0429600 gene:Os10g0429651
gene:Os10g0430600 gene:Os10g0430700
gene:Os10g0430600 gene:Os10g0430800
gene:Os10g0430700 gene:Os10g0430800
gene:Os10g0434000 gene:Os10g0434200
gene:Os10g0434000 gene:Os10g0434650
gene:Os10g0434200 gene:Os10g0434650
gene:Os10g0434650 gene:Os10g0434999
gene:Os10g0434999 gene:Os10g0435300
gene:Os10g0434999 gene:Os10g0435400
gene:Os10g0435300 gene:Os10g0435400
gene:Os10g0435300 gene:Os10g0435900
gene:Os10g0435400 gene:Os10g0435900
gene:Os10g0435400 gene:Os10g0436100
gene:Os10g0435900 gene:Os10g0436100
gene:Os10g0439100 gene:Os10g0439200
gene:Os10g0439700 gene:Os10g0439800
gene:Os10g0439800 gene:Os10g0439924
gene:Os10g0439862 gene:Os10g0439986
gene:Os10g0441900 gene:Os10g0442000
gene:Os10g0443800 gene:Os10g0444100
gene:Os10g0444566 gene:Os10g0444850
gene:Os10g0444600 gene:Os10g0444700
gene:Os10g0453900 gene:Os10g0454300
gene:Os10g0458900 gene:Os10g0459300
gene:Os10g0458900 gene:Os10g0459600
gene:Os10g0459300 gene:Os10g0459600
gene:Os10g0459600 gene:Os10g0459700
gene:Os10g0460900 gene:Os10g0461100
gene:Os10g0461100 gene:Os10g0461400
gene:Os10g0464500 gene:Os10g0464800
gene:Os10g0466800 gene:Os10g0467000
gene:Os10g0466800 gene:Os10g0467100
gene:Os10g0467000 gene:Os10g0467100
gene:Os10g0467900 gene:Os10g0468500
gene:Os10g0468500 gene:Os10g0469000
gene:Os10g0469000 gene:Os10g0469300
gene:Os10g0469300 gene:Os10g0469600
gene:Os10g0469300 gene:Os10g0469700
gene:Os10g0469600 gene:Os10g0469700
gene:Os10g0469900 gene:Os10g0470700
gene:Os10g0474100 gene:Os10g0474800
gene:Os10g0474900 gene:Os10g0475100
gene:Os10g0474300 gene:Os10g0474600
gene:Os10g0474800 gene:Os10g0475100
gene:Os10g0481500 gene:Os10g0482450
gene:Os10g0482450 gene:Os10g0482700
gene:Os10g0487500 gene:Os10g0487600
gene:Os10g0490100 gene:Os10g0490400
gene:Os10g0490100 gene:Os10g0490666
gene:Os10g0490800 gene:Os10g0490900
gene:Os10g0490800 gene:Os10g0491000
gene:Os10g0490900 gene:Os10g0491000
gene:Os10g0492000 gene:Os10g0492300
gene:Os10g0492101 gene:Os10g0492300
gene:Os10g0492900 gene:Os10g0493600
gene:Os10g0495100 gene:Os10g0495200
gene:Os10g0497300 gene:Os10g0497366
gene:Os10g0497300 gene:Os10g0497432
gene:Os10g0497366 gene:Os10g0497432
gene:Os10g0498000 gene:Os10g0498100
gene:Os10g0498000 gene:Os10g0498200
gene:Os10g0498100 gene:Os10g0498200
gene:Os10g0498100 gene:Os10g0498300
gene:Os10g0498200 gene:Os10g0498300
gene:Os10g0498200 gene:Os10g0498500
gene:Os10g0498300 gene:Os10g0498500
gene:Os10g0501000 gene:Os10g0501200
gene:Os10g0501200 gene:Os10g0501300
gene:Os10g0502500 gene:Os10g0502600
gene:Os10g0504650 gene:Os10g0504900
gene:Os10g0504650 gene:Os10g0505000
gene:Os10g0504900 gene:Os10g0505000
gene:Os10g0504900 gene:Os10g0505500
gene:Os10g0505000 gene:Os10g0505500
gene:Os10g0505000 gene:Os10g0505700
gene:Os10g0509401 gene:Os10g0509600
gene:Os10g0511400 gene:Os10g0511600
gene:Os10g0513400 gene:Os10g0513900
gene:Os10g0513400 gene:Os10g0514300
gene:Os10g0513900 gene:Os10g0514300
gene:Os10g0513900 gene:Os10g0514450
gene:Os10g0514300 gene:Os10g0514500
gene:Os10g0514450 gene:Os10g0514500
gene:Os10g0514425 gene:Os10g0514550
gene:Os10g0514500 gene:Os10g0514700
gene:Os10g0514550 gene:Os10g0515100
gene:Os10g0514700 gene:Os10g0514901
gene:Os10g0514700 gene:Os10g0515200
gene:Os10g0514901 gene:Os10g0515200
gene:Os10g0514901 gene:Os10g0515400
gene:Os10g0515200 gene:Os10g0515400
gene:Os10g0515100 gene:Os10g0516000
gene:Os10g0515400 gene:Os10g0515900
gene:Os10g0519800 gene:Os10g0520100
gene:Os10g0521400 gene:Os10g0521500
gene:Os10g0522700 gene:Os10g0522800
gene:Os10g0522900 gene:Os10g0523100
gene:Os10g0524700 gene:Os10g0525000
gene:Os10g0524766 gene:Os10g0525101
gene:Os10g0525000 gene:Os10g0525200
gene:Os10g0525101 gene:Os10g0525301
gene:Os10g0525400 gene:Os10g0525500
gene:Os10g0525400 gene:Os10g0525800
gene:Os10g0525500 gene:Os10g0525800
gene:Os10g0525500 gene:Os10g0527400
gene:Os10g0525800 gene:Os10g0527400
gene:Os10g0525800 gene:Os10g0527800
gene:Os10g0527400 gene:Os10g0527601
gene:Os10g0527400 gene:Os10g0527800
gene:Os10g0527601 gene:Os10g0527800
gene:Os10g0527601 gene:Os10g0528100
gene:Os10g0527800 gene:Os10g0528100
gene:Os10g0528100 gene:Os10g0528200
gene:Os10g0528100 gene:Os10g0528300
gene:Os10g0528200 gene:Os10g0528300
gene:Os10g0528150 gene:Os10g0528651
gene:Os10g0528300 gene:Os10g0528400
gene:Os10g0528400 gene:Os10g0528900
gene:Os10g0528400 gene:Os10g0529300
gene:Os10g0528900 gene:Os10g0529300
gene:Os10g0528900 gene:Os10g0529400
gene:Os10g0529300 gene:Os10g0529400
gene:Os10g0529300 gene:Os10g0529500
gene:Os10g0529400 gene:Os10g0529500
gene:Os10g0529500 gene:Os10g0529700
gene:Os10g0529700 gene:Os10g0529800
gene:Os10g0529700 gene:Os10g0530200
gene:Os10g0529800 gene:Os10g0530200
gene:Os10g0529800 gene:Os10g0530400
gene:Os10g0530200 gene:Os10g0530300
gene:Os10g0530200 gene:Os10g0530400
gene:Os10g0530300 gene:Os10g0530400
gene:Os10g0530300 gene:Os10g0530500
gene:Os10g0530400 gene:Os10g0530500
gene:Os10g0530400 gene:Os10g0530600
gene:Os10g0530750 gene:Os10g0530800
gene:Os10g0530600 gene:Os10g0530900
gene:Os10g0530600 gene:Os10g0531400
gene:Os10g0530900 gene:Os10g0531400
gene:Os10g0530800 gene:Os10g0531300
gene:Os10g0537800 gene:Os10g0538200
gene:Os10g0537800 gene:Os10g0539200
gene:Os10g0538200 gene:Os10g0539200
gene:Os10g0538450 gene:Os10g0538950
gene:Os10g0540300 gene:Os10g0540900
gene:Os10g0542900 gene:Os10g0543400
gene:Os10g0547900 gene:Os10g0548000
gene:Os10g0548300 gene:Os10g0548700
gene:Os10g0548700 gene:Os10g0548850
gene:Os10g0551700 gene:Os10g0551800
gene:Os10g0551700 gene:Os10g0551900
gene:Os10g0551800 gene:Os10g0551900
gene:Os10g0551800 gene:Os10g0552200
gene:Os10g0551900 gene:Os10g0552200
gene:Os10g0551900 gene:Os10g0552600
gene:Os10g0552200 gene:Os10g0552600
gene:Os10g0552600 gene:Os10g0552700
gene:Os10g0552600 gene:Os10g0552800
gene:Os10g0552700 gene:Os10g0552800
gene:Os10g0553800 gene:Os10g0554300
gene:Os10g0555651 gene:Os10g0556000
gene:Os10g0555600 gene:Os10g0555700
gene:Os10g0555600 gene:Os10g0555900
gene:Os10g0555700 gene:Os10g0555900
gene:Os10g0555700 gene:Os10g0556100
gene:Os10g0555900 gene:Os10g0556100
gene:Os10g0557900 gene:Os10g0558100
gene:Os10g0557900 gene:Os10g0558125
gene:Os10g0558100 gene:Os10g0558125
gene:Os10g0558200 gene:Os10g0558400
gene:Os10g0558301 gene:Os10g0558466
gene:Os10g0558400 gene:Os10g0558700
gene:Os10g0558700 gene:Os10g0558750
gene:Os10g0558750 gene:Os10g0558900
gene:Os10g0558900 gene:Os10g0559200
gene:Os10g0558900 gene:Os10g0559500
gene:Os10g0559200 gene:Os10g0559500
gene:Os10g0559300 gene:Os10g0559450
gene:Os10g0559400 gene:Os10g0559500
gene:Os10g0567100 gene:Os10g0567400
gene:Os10g0569400 gene:Os10g0569600
gene:Os10g0569600 gene:Os10g0569800
gene:Os10g0569600 gene:Os10g0570001
gene:Os10g0569800 gene:Os10g0570001
gene:Os10g0569800 gene:Os10g0570200
gene:Os10g0573700 gene:Os10g0573800
gene:Os10g0579600 gene:Os10g0579800
gene:Os11g0103550 gene:Os11g0103800
gene:Os11g0103800 gene:Os11g0104240
gene:Os11g0104240 gene:Os11g0104220
gene:Os11g0109633 gene:Os11g0109700
gene:Os11g0112200 gene:Os11g0112400
gene:Os11g0114900 gene:Os11g0115350
gene:Os11g0115100 gene:Os11g0115350
gene:Os11g0115350 gene:Os11g0115400
gene:Os11g0115400 gene:Os11g0116000
gene:Os11g0116900 gene:Os11g0117400
gene:Os11g0117900 gene:Os11g0118000
gene:Os11g0118300 gene:Os11g0118500
gene:Os11g0120600 gene:Os11g0120725
gene:Os11g0121400 gene:Os11g0121500
gene:Os11g0121400 gene:Os11g0122150
gene:Os11g0121500 gene:Os11g0122150
gene:Os11g0125900 gene:Os11g0126400
gene:Os11g0126400 gene:Os11g0126800
gene:Os11g0127000 gene:Os11g0127600
gene:Os11g0129000 gene:Os11g0129200
gene:Os11g0131900 gene:Os11g0132000
gene:Os11g0131900 gene:Os11g0132600
gene:Os11g0132000 gene:Os11g0132600
gene:Os11g0133001 gene:Os11g0133100
gene:Os11g0133001 gene:Os11g0133300
gene:Os11g0133100 gene:Os11g0133300
gene:Os11g0133300 gene:Os11g0133500
gene:Os11g0134900 gene:Os11g0135000
gene:Os11g0135000 gene:Os11g0135300
gene:Os11g0135000 gene:Os11g0135900
gene:Os11g0135300 gene:Os11g0135900
gene:Os11g0135900 gene:Os11g0136400
gene:Os11g0137400 gene:Os11g0137500
gene:Os11g0138400 gene:Os11g0138600
gene:Os11g0139900 gene:Os11g0140100
gene:Os11g0141100 gene:Os11g0141333
gene:Os11g0141500 gene:Os11g0141700
gene:Os11g0141550 gene:Os11g0141700
gene:Os11g0142300 gene:Os11g0142400
gene:Os11g0145700 gene:Os11g0146500
gene:Os11g0148700 gene:Os11g0148800
gene:Os11g0153600 gene:Os11g0153700
gene:Os11g0159900 gene:Os11g0160000
gene:Os11g0160900 gene:Os11g0161000
gene:Os11g0160900 gene:Os11g0161100
gene:Os11g0161000 gene:Os11g0161100
gene:Os11g0161000 gene:Os11g0161133
gene:Os11g0161100 gene:Os11g0161133
gene:Os11g0161100 gene:Os11g0161800
gene:Os11g0161133 gene:Os11g0161800
gene:Os11g0164000 gene:Os11g0164200
gene:Os11g0171800 gene:Os11g0172150
gene:Os11g0172150 gene:Os11g0172300
gene:Os11g0172150 gene:Os11g0172350
gene:Os11g0172300 gene:Os11g0173432
gene:Os11g0172350 gene:Os11g0172400
gene:Os11g0172350 gene:Os11g0173432
gene:Os11g0172400 gene:Os11g0173432
gene:Os11g0173432 gene:Os11g0173500
gene:Os11g0173432 gene:Os11g0173550
gene:Os11g0173500 gene:Os11g0173550
gene:Os11g0173500 gene:Os11g0173750
gene:Os11g0173550 gene:Os11g0173800
gene:Os11g0173750 gene:Os11g0173800
gene:Os11g0173750 gene:Os11g0173900
gene:Os11g0173800 gene:Os11g0173900
gene:Os11g0175000 gene:Os11g0175300
gene:Os11g0178800 gene:Os11g0179000
gene:Os11g0178800 gene:Os11g0179500
gene:Os11g0179000 gene:Os11g0179400
gene:Os11g0179000 gene:Os11g0179500
gene:Os11g0179400 gene:Os11g0179500
gene:Os11g0179400 gene:Os11g0179700
gene:Os11g0179500 gene:Os11g0179700
gene:Os11g0179500 gene:Os11g0180000
gene:Os11g0179700 gene:Os11g0180000
gene:Os11g0181700 gene:Os11g0181800
gene:Os11g0182500 gene:Os11g0183150
gene:Os11g0182900 gene:Os11g0183150
gene:Os11g0183900 gene:Os11g0184600
gene:Os11g0184600 gene:Os11g0184800
gene:Os11g0187500 gene:Os11g0187600
gene:Os11g0187500 gene:Os11g0187700
gene:Os11g0189900 gene:Os11g0191400
gene:Os11g0191800 gene:Os11g0192500
gene:Os11g0192500 gene:Os11g0193800
gene:Os11g0193800 gene:Os11g0194400
gene:Os11g0194100 gene:Os11g0194600
gene:Os11g0198900 gene:Os11g0199000
gene:Os11g0199900 gene:Os11g0200600
gene:Os11g0200000 gene:Os11g0201400
gene:Os11g0200600 gene:Os11g0200950
gene:Os11g0200950 gene:Os11g0201299
gene:Os11g0201299 gene:Os11g0201360
gene:Os11g0201360 gene:Os11g0201900
gene:Os11g0201900 gene:Os11g0202000
gene:Os11g0202000 gene:Os11g0202200
gene:Os11g0202200 gene:Os11g0202300
gene:Os11g0202200 gene:Os11g0202400
gene:Os11g0202300 gene:Os11g0202400
gene:Os11g0206101 gene:Os11g0206200
gene:Os11g0206101 gene:Os11g0206600
gene:Os11g0206200 gene:Os11g0206400
gene:Os11g0206400 gene:Os11g0206300
gene:Os11g0206400 gene:Os11g0206600
gene:Os11g0206300 gene:Os11g0206600
gene:Os11g0207000 gene:Os11g0207100
gene:Os11g0207700 gene:Os11g0207900
gene:Os11g0207800 gene:Os11g0208000
gene:Os11g0208000 gene:Os11g0208100
gene:Os11g0208000 gene:Os11g0208300
gene:Os11g0208100 gene:Os11g0208300
gene:Os11g0208100 gene:Os11g0208400
gene:Os11g0208300 gene:Os11g0208400
gene:Os11g0208400 gene:Os11g0208600
gene:Os11g0208651 gene:Os11g0208850
gene:Os11g0208700 gene:Os11g0208800
gene:Os11g0209100 gene:Os11g0209200
gene:Os11g0209100 gene:Os11g0209400
gene:Os11g0209200 gene:Os11g0209502
gene:Os11g0209400 gene:Os11g0209502
gene:Os11g0209450 gene:Os11g0209550
gene:Os11g0209502 gene:Os11g0209600
gene:Os11g0210300 gene:Os11g0210500
gene:Os11g0210300 gene:Os11g0210600
gene:Os11g0210500 gene:Os11g0210600
gene:Os11g0211300 gene:Os11g0211600
gene:Os11g0211600 gene:Os11g0212000
gene:Os11g0211650 gene:Os11g0212000
gene:Os11g0212300 gene:Os11g0212900
gene:Os11g0212900 gene:Os11g0213000
gene:Os11g0214100 gene:Os11g0214400
gene:Os11g0214100 gene:Os11g0214700
gene:Os11g0214400 gene:Os11g0214700
gene:Os11g0214400 gene:Os11g0214900
gene:Os11g0214700 gene:Os11g0214900
gene:Os11g0218560 gene:Os11g0218619
gene:Os11g0218560 gene:Os11g0218678
gene:Os11g0218619 gene:Os11g0218737
gene:Os11g0220500 gene:Os11g0220600
gene:Os11g0221200 gene:Os11g0221300
gene:Os11g0224200 gene:Os11g0224301
gene:Os11g0224400 gene:Os11g0224600
gene:Os11g0225000 gene:Os11g0226100
gene:Os11g0225300 gene:Os11g0226400
gene:Os11g0226933 gene:Os11g0227100
gene:Os11g0227100 gene:Os11g0227200
gene:Os11g0227100 gene:Os11g0227700
gene:Os11g0227200 gene:Os11g0227700
gene:Os11g0227700 gene:Os11g0227800
gene:Os11g0227700 gene:Os11g0228800
gene:Os11g0227800 gene:Os11g0228600
gene:Os11g0228600 gene:Os11g0229300
gene:Os11g0228800 gene:Os11g0229300
gene:Os11g0229300 gene:Os11g0229400
gene:Os11g0229300 gene:Os11g0229500
gene:Os11g0229400 gene:Os11g0229500
gene:Os11g0229400 gene:Os11g0229700
gene:Os11g0229500 gene:Os11g0229700
gene:Os11g0230400 gene:Os11g0230700
gene:Os11g0230400 gene:Os11g0231200
gene:Os11g0230700 gene:Os11g0231200
gene:Os11g0230700 gene:Os11g0231800
gene:Os11g0231200 gene:Os11g0231800
gene:Os11g0231800 gene:Os11g0232000
gene:Os11g0232100 gene:Os11g0233000
gene:Os11g0237600 gene:Os11g0237900
gene:Os11g0237900 gene:Os11g0238000
gene:Os11g0237900 gene:Os11g0238700
gene:Os11g0238000 gene:Os11g0238700
gene:Os11g0239000 gene:Os11g0239200
gene:Os11g0239000 gene:Os11g0239400
gene:Os11g0239200 gene:Os11g0239400
gene:Os11g0239500 gene:Os11g0240600
gene:Os11g0241200 gene:Os11g0241700
gene:Os11g0249400 gene:Os11g0249600
gene:Os11g0250600 gene:Os11g0251200
gene:Os11g0251200 gene:Os11g0251400
gene:Os11g0251400 gene:Os11g0252400
gene:Os11g0251400 gene:Os11g0253100
gene:Os11g0252400 gene:Os11g0253100
gene:Os11g0256000 gene:Os11g0256050
gene:Os11g0256600 gene:Os11g0256900
gene:Os11g0256600 gene:Os11g0257700
gene:Os11g0256900 gene:Os11g0257700
gene:Os11g0259700 gene:Os11g0260100
gene:Os11g0264700 gene:Os11g0265200
gene:Os11g0265900 gene:Os11g0266500
gene:Os11g0267400 gene:Os11g0269000
gene:Os11g0274100 gene:Os11g0274700
gene:Os11g0275000 gene:Os11g0275200
gene:Os11g0275000 gene:Os11g0275500
gene:Os11g0275200 gene:Os11g0275500
gene:Os11g0282800 gene:Os11g0283500
gene:Os11g0283500 gene:Os11g0284032
gene:Os11g0283500 gene:Os11g0284300
gene:Os11g0285000 gene:Os11g0286400
gene:Os11g0286400 gene:Os11g0286800
gene:Os11g0291000 gene:Os11g0291500
gene:Os11g0297300 gene:Os11g0297800
gene:Os11g0303600 gene:Os11g0304050
gene:Os11g0304050 gene:Os11g0305400
gene:Os11g0305400 gene:Os11g0306300
gene:Os11g0306300 gene:Os11g0306400
gene:Os11g0306300 gene:Os11g0307300
gene:Os11g0306400 gene:Os11g0307300
gene:Os11g0312220 gene:Os11g0312400
gene:Os11g0362633 gene:Os11g0368172
gene:Os11g0430000 gene:Os11g0430600
gene:Os11g0430600 gene:Os11g0431700
gene:Os11g0431100 gene:Os11g0431400
gene:Os11g0431100 gene:Os11g0431700
gene:Os11g0431400 gene:Os11g0431700
gene:Os11g0431700 gene:Os11g0432900
gene:Os11g0434400 gene:Os11g0434850
gene:Os11g0434850 gene:Os11g0435100
gene:Os11g0434850 gene:Os11g0435300
gene:Os11g0435100 gene:Os11g0435300
gene:Os11g0435100 gene:Os11g0435800
gene:Os11g0435300 gene:Os11g0435800
gene:Os11g0436450 gene:Os11g0436500
gene:Os11g0438000 gene:Os11g0438700
gene:Os11g0438700 gene:Os11g0439100
gene:Os11g0439600 gene:Os11g0440200
gene:Os11g0444700 gene:Os11g0444900
gene:Os11g0451700 gene:Os11g0454000
gene:Os11g0453900 gene:Os11g0454000
gene:Os11g0453900 gene:Os11g0454200
gene:Os11g0454000 gene:Os11g0454200
gene:Os11g0454000 gene:Os11g0454300
gene:Os11g0454200 gene:Os11g0454300
gene:Os11g0457000 gene:Os11g0457300
gene:Os11g0460800 gene:Os11g0461000
gene:Os11g0479100 gene:Os11g0481150
gene:Os11g0493700 gene:Os11g0492200
gene:Os11g0492200 gene:Os11g0492300
gene:Os11g0492200 gene:Os11g0492500
gene:Os11g0492300 gene:Os11g0492500
gene:Os11g0492300 gene:Os11g0492900
gene:Os11g0492500 gene:Os11g0492900
gene:Os11g0492900 gene:Os11g0493000
gene:Os11g0492900 gene:Os11g0493100
gene:Os11g0493000 gene:Os11g0494100
gene:Os11g0493100 gene:Os11g0494100
gene:Os11g0503900 gene:Os11g0504900
gene:Os11g0504900 gene:Os11g0505300
gene:Os11g0512000 gene:Os11g0512100
gene:Os11g0512000 gene:Os11g0512200
gene:Os11g0512100 gene:Os11g0512200
gene:Os11g0512100 gene:Os11g0512600
gene:Os11g0513000 gene:Os11g0513700
gene:Os11g0513500 gene:Os11g0513900
gene:Os11g0514000 gene:Os11g0514100
gene:Os11g0514400 gene:Os11g0514500
gene:Os11g0514400 gene:Os11g0514700
gene:Os11g0514500 gene:Os11g0514700
gene:Os11g0517400 gene:Os11g0517800
gene:Os11g0517800 gene:Os11g0518900
gene:Os11g0518900 gene:Os11g0519500
gene:Os11g0524601 gene:Os11g0524900
gene:Os11g0529036 gene:Os11g0529500
gene:Os11g0529125 gene:Os11g0529500
gene:Os11g0529100 gene:Os11g0529500
gene:Os11g0529100 gene:Os11g0529800
gene:Os11g0529500 gene:Os11g0529800
gene:Os11g0529800 gene:Os11g0529900
gene:Os11g0529800 gene:Os11g0530600
gene:Os11g0532000 gene:Os11g0532900
gene:Os11g0538400 gene:Os11g0539000
gene:Os11g0539600 gene:Os11g0539700
gene:Os11g0539800 gene:Os11g0540100
gene:Os11g0540600 gene:Os11g0540800
gene:Os11g0540600 gene:Os11g0540900
gene:Os11g0540800 gene:Os11g0540900
gene:Os11g0540800 gene:Os11g0541600
gene:Os11g0540900 gene:Os11g0541200
gene:Os11g0540900 gene:Os11g0541600
gene:Os11g0541200 gene:Os11g0541600
gene:Os11g0541200 gene:Os11g0543300
