Pgi01A00000100 Pgi01A00000110
Pgi01B00025400 Pgi01B00025450
Pgi01B00025410 Pgi01B00025450
Pgi01B00025530 Pgi01B00025580
Pgi01B00025560 Pgi01B00025610
Pgi01B00025590 Pgi01B00025600
Pgi01B00025850 Pgi01B00025870
Pgi01B00026520 Pgi01B00026540
Pgi01B00026530 Pgi01B00026540
Pgi01B00026910 Pgi01B00026920
Pgi01B00027290 Pgi01B00027320
Pgi01B00027310 Pgi01B00027330
Pgi01B00027510 Pgi01B00027530
Pgi01B00027660 Pgi01B00027690
Pgi01B00027700 Pgi01B00027710
Pgi01B00027830 Pgi01B00027840
Pgi01B00027830 Pgi01B00027870
Pgi01B00027840 Pgi01B00027870
Pgi01B00027920 Pgi01B00027950
Pgi01B00028000 Pgi01B00028010
Pgi01B00028030 Pgi01B00028040
Pgi01B00028030 Pgi01B00028070
Pgi01B00028040 Pgi01B00028070
Pgi01B00028100 Pgi01B00028110
Pgi01B00028210 Pgi01B00028220
Pgi01B00028210 Pgi01B00028230
Pgi01B00028220 Pgi01B00028230
Pgi01B00028220 Pgi01B00028240
Pgi01B00028230 Pgi01B00028240
Pgi01B00028230 Pgi01B00028250
Pgi01B00028240 Pgi01B00028250
Pgi01B00028280 Pgi01B00028310
Pgi01B00028290 Pgi01B00028300
Pgi01B00028450 Pgi01B00028460
Pgi01B00028490 Pgi01B00028510
Pgi01B00028580 Pgi01B00028590
Pgi01B00028600 Pgi01B00028610
Pgi01B00028620 Pgi01B00028630
Pgi01B00028620 Pgi01B00028640
Pgi01B00028630 Pgi01B00028640
Pgi01B00028630 Pgi01B00028660
Pgi01B00028640 Pgi01B00028660
Pgi01B00028780 Pgi01B00028790
Pgi01B00028930 Pgi01B00028960
Pgi01B00028990 Pgi01B00029000
Pgi01B00028990 Pgi01B00029010
Pgi01B00029000 Pgi01B00029010
Pgi01B00029000 Pgi01B00029020
Pgi01B00029010 Pgi01B00029020
Pgi01B00029110 Pgi01B00029150
Pgi01B00029150 Pgi01B00029160
Pgi01B00029150 Pgi01B00029170
Pgi01B00029160 Pgi01B00029170
Pgi01B00029160 Pgi01B00029190
Pgi01B00029170 Pgi01B00029190
Pgi01B00029190 Pgi01B00029200
Pgi01B00029190 Pgi01B00029210
Pgi01B00029200 Pgi01B00029210
Pgi01B00029460 Pgi01B00029480
Pgi01B00029760 Pgi01B00029770
Pgi01B00029760 Pgi01B00029780
Pgi01B00029770 Pgi01B00029780
Pgi01B00029770 Pgi01B00029790
Pgi01B00029780 Pgi01B00029790
Pgi01B00029780 Pgi01B00029800
Pgi01B00029790 Pgi01B00029800
Pgi01B00029970 Pgi01B00029990
Pgi01B00030190 Pgi01B00030210
Pgi01B00030420 Pgi01B00030440
Pgi01B00030440 Pgi01B00030460
Pgi01B00030460 Pgi01B00030500
Pgi01B00030580 Pgi01B00030600
Pgi01B00030660 Pgi01B00030670
Pgi01B00030660 Pgi01B00030680
Pgi01B00030670 Pgi01B00030680
Pgi01B00030880 Pgi01B00030890
Pgi01B00030880 Pgi01B00030900
Pgi01B00030890 Pgi01B00030900
Pgi01B00030890 Pgi01B00030910
Pgi01B00030900 Pgi01B00030910
Pgi01B00030900 Pgi01B00030930
Pgi01B00030910 Pgi01B00030920
Pgi01B00030910 Pgi01B00030930
Pgi01B00030920 Pgi01B00030940
Pgi01B00030930 Pgi01B00030950
Pgi01B00030950 Pgi01B00030970
Pgi01B00030970 Pgi01B00031000
Pgi01B00031020 Pgi01B00031030
Pgi01B00031130 Pgi01B00031140
Pgi01B00031200 Pgi01B00031210
Pgi01B00031910 Pgi01B00031920
Pgi01B00031930 Pgi01B00031940
Pgi01B00031930 Pgi01B00031950
Pgi01B00031940 Pgi01B00031950
Pgi01B00032050 Pgi01B00032060
Pgi01B00032160 Pgi01B00032180
Pgi01B00032170 Pgi01B00032180
Pgi01B00032170 Pgi01B00032190
Pgi01B00032180 Pgi01B00032190
Pgi01B00032320 Pgi01B00032330
Pgi01B00032530 Pgi01B00032560
Pgi01B00032560 Pgi01B00032570
Pgi01B00032560 Pgi01B00032580
Pgi01B00032570 Pgi01B00032580
Pgi01B00032580 Pgi01B00032630
Pgi01B00032600 Pgi01B00032610
Pgi01B00032600 Pgi01B00032620
Pgi01B00032610 Pgi01B00032620
Pgi01B00032610 Pgi01B00032630
Pgi01B00032620 Pgi01B00032630
Pgi01B00032620 Pgi01B00032640
Pgi01B00032630 Pgi01B00032640
Pgi01B00032630 Pgi01B00032650
Pgi01B00032640 Pgi01B00032650
Pgi01B00032640 Pgi01B00032660
Pgi01B00032650 Pgi01B00032660
Pgi01B00032650 Pgi01B00032670
Pgi01B00032660 Pgi01B00032670
Pgi01B00032670 Pgi01B00032710
Pgi01B00032710 Pgi01B00032720
Pgi01B00032710 Pgi01B00032730
Pgi01B00032720 Pgi01B00032730
Pgi01B00032720 Pgi01B00032750
Pgi01B00032730 Pgi01B00032740
Pgi01B00032730 Pgi01B00032750
Pgi01B00032740 Pgi01B00032750
Pgi01B00032740 Pgi01B00032760
Pgi01B00032750 Pgi01B00032760
Pgi01B00032750 Pgi01B00032770
Pgi01B00032760 Pgi01B00032770
Pgi01B00032760 Pgi01B00032780
Pgi01B00032770 Pgi01B00032780
Pgi01B00032770 Pgi01B00032790
Pgi01B00032780 Pgi01B00032790
Pgi01B00032780 Pgi01B00032830
Pgi01B00032790 Pgi01B00032800
Pgi01B00032790 Pgi01B00032810
Pgi01B00032800 Pgi01B00032820
Pgi01B00032810 Pgi01B00032830
Pgi01B00032820 Pgi01B00032830
Pgi01B00032840 Pgi01B00032850
Pgi01B00032840 Pgi01B00032860
Pgi01B00032850 Pgi01B00032860
Pgi01B00032890 Pgi01B00032900
Pgi01B00032920 Pgi01B00032930
Pgi01B00032950 Pgi01B00032960
Pgi01B00033010 Pgi01B00033020
Pgi01B00033150 Pgi01B00033190
Pgi01B00033270 Pgi01B00033280
Pgi01B00033340 Pgi01B00033390
Pgi01B00033350 Pgi01B00033370
Pgi01B00033370 Pgi01B00033380
Pgi01B00033390 Pgi01B00033420
Pgi01B00033540 Pgi01B00033550
Pgi01B00033540 Pgi01B00033560
Pgi01B00033550 Pgi01B00033560
Pgi01B00033740 Pgi01B00033750
Pgi01B00033760 Pgi01B00033770
Pgi01B00034010 Pgi01B00034040
Pgi01B00034020 Pgi01B00034030
Pgi01B00034080 Pgi01B00034100
Pgi01B00034090 Pgi01B00034100
Pgi01B00034090 Pgi01B00034140
Pgi01B00034100 Pgi01B00034140
Pgi01B00034110 Pgi01B00034120
Pgi01B00034110 Pgi01B00034130
Pgi01B00034120 Pgi01B00034130
Pgi01B00034240 Pgi01B00034280
Pgi01B00034280 Pgi01B00034290
Pgi01B00034280 Pgi01B00034300
Pgi01B00034290 Pgi01B00034300
Pgi01B00034560 Pgi01B00034580
Pgi01B00034580 Pgi01B00034590
Pgi01B00034620 Pgi01B00034640
Pgi01B00034640 Pgi01B00034650
Pgi01B00034640 Pgi01B00034670
Pgi01B00034650 Pgi01B00034670
Pgi01B00034760 Pgi01B00034770
Pgi01B00035280 Pgi01B00035290
Pgi01B00035410 Pgi01B00035420
Pgi01B00035450 Pgi01B00035460
Pgi01B00035450 Pgi01B00035470
Pgi01B00035460 Pgi01B00035470
Pgi01B00035460 Pgi01B00035480
Pgi01B00035470 Pgi01B00035490
Pgi01B00035480 Pgi01B00035490
Pgi01B00035580 Pgi01B00035590
Pgi01B00035840 Pgi01B00035850
Pgi01B00035840 Pgi01B00035860
Pgi01B00035850 Pgi01B00035860
Pgi01B00035870 Pgi01B00035880
Pgi01B00036290 Pgi01B00036320
Pgi01B00036390 Pgi01B00036430
Pgi01B00036490 Pgi01B00036500
Pgi01B00036720 Pgi01B00036730
Pgi01B00036890 Pgi01B00036910
Pgi01B00036950 Pgi01B00036990
Pgi01B00036970 Pgi01B00036980
Pgi01B00037130 Pgi01B00037160
Pgi01B00037140 Pgi01B00037170
Pgi01B00037240 Pgi01B00037250
Pgi01B00037240 Pgi01B00037290
Pgi01B00037250 Pgi01B00037290
Pgi01B00037260 Pgi01B00037310
Pgi01B00037270 Pgi01B00037280
Pgi01B00037270 Pgi01B00037320
Pgi01B00037280 Pgi01B00037320
Pgi01B00037290 Pgi01B00037300
Pgi01B00037320 Pgi01B00037330
Pgi01B00037320 Pgi01B00037340
Pgi01B00037330 Pgi01B00037340
Pgi01B00037580 Pgi01B00037600
Pgi01B00037600 Pgi01B00037610
Pgi01B00038370 Pgi01B00038390
Pgi01B00038380 Pgi01B00038390
Pgi01B00038380 Pgi01B00038410
Pgi01B00038390 Pgi01B00038410
Pgi01B00038420 Pgi01B00038440
Pgi01B00038450 Pgi01B00038460
Pgi01B00038530 Pgi01B00038540
Pgi01B00038620 Pgi01B00038630
Pgi01B00038660 Pgi01B00038690
Pgi01B00038760 Pgi01B00038770
Pgi01B00038760 Pgi01B00038780
Pgi01B00038770 Pgi01B00038780
Pgi01B00038840 Pgi01B00038850
Pgi01B00038970 Pgi01B00038980
Pgi01B00038970 Pgi01B00038990
Pgi01B00038980 Pgi01B00038990
Pgi01B00038980 Pgi01B00039000
Pgi01B00038990 Pgi01B00039000
Pgi01B00038990 Pgi01B00039010
Pgi01B00039000 Pgi01B00039010
Pgi01B00039170 Pgi01B00039180
Pgi01B00039170 Pgi01B00039190
Pgi01B00039180 Pgi01B00039190
Pgi01B00039780 Pgi01B00039790
Pgi01B00039780 Pgi01B00039800
Pgi01B00039790 Pgi01B00039800
Pgi01B00039830 Pgi01B00039840
Pgi01B00039960 Pgi01B00039990
Pgi01B00039980 Pgi01B00040000
Pgi01B00040080 Pgi01B00040130
Pgi01B00040090 Pgi01B00040110
Pgi01B00040110 Pgi01B00040140
Pgi01B00040190 Pgi01B00040200
Pgi01B00040330 Pgi01B00040350
Pgi01B00040350 Pgi01B00040360
Pgi01B00040490 Pgi01B00040500
Pgi01B00040490 Pgi01B00040530
Pgi01B00040500 Pgi01B00040510
Pgi01B00040500 Pgi01B00040530
Pgi01B00040510 Pgi01B00040530
Pgi01B00040530 Pgi01B00040560
Pgi01B00040560 Pgi01B00040580
Pgi01B00040580 Pgi01B00040590
Pgi01B00040580 Pgi01B00040610
Pgi01B00040590 Pgi01B00040610
Pgi01B00040610 Pgi01B00040620
Pgi01B00040610 Pgi01B00040640
Pgi01B00040620 Pgi01B00040640
Pgi01B00040640 Pgi01B00040650
Pgi01B00040640 Pgi01B00040660
Pgi01B00040650 Pgi01B00040660
Pgi01B00040750 Pgi01B00040800
Pgi01B00040900 Pgi01B00040920
Pgi01B00041290 Pgi01B00041310
Pgi01B00041390 Pgi01B00041400
Pgi01B00041670 Pgi01B00041720
Pgi01B00041940 Pgi01B00041950
Pgi01B00041960 Pgi01B00041970
Pgi01B00042020 Pgi01B00042040
Pgi01B00042190 Pgi01B00042200
Pgi01B00042290 Pgi01B00042300
Pgi01B00042290 Pgi01B00042320
Pgi01B00042300 Pgi01B00042320
Pgi01B00042320 Pgi01B00042340
Pgi01B00042560 Pgi01B00042570
Pgi01B00042580 Pgi01B00042590
Pgi01B00042580 Pgi01B00042600
Pgi01B00042590 Pgi01B00042600
Pgi01B00042590 Pgi01B00042610
Pgi01B00042600 Pgi01B00042610
Pgi01B00042600 Pgi01B00042640
Pgi01B00042610 Pgi01B00042640
Pgi01B00042640 Pgi01B00042650
Pgi01B00042780 Pgi01B00042790
Pgi01B00042810 Pgi01B00042830
Pgi01B00042940 Pgi01B00042960
Pgi01B00042950 Pgi01B00042970
Pgi01B00042990 Pgi01B00043000
Pgi01B00043010 Pgi01B00043030
Pgi01B00043030 Pgi01B00043040
Pgi01B00043030 Pgi01B00043050
Pgi01B00043040 Pgi01B00043050
Pgi01B00043380 Pgi01B00043390
Pgi01B00043380 Pgi01B00043410
Pgi01B00043390 Pgi01B00043410
Pgi01B00043410 Pgi01B00043420
Pgi01B00043480 Pgi01B00043500
Pgi01B00043520 Pgi01B00043530
Pgi01B00043680 Pgi01B00043690
Pgi01B00043810 Pgi01B00043820
Pgi01B00043810 Pgi01B00043840
Pgi01B00043820 Pgi01B00043840
Pgi01B00043840 Pgi01B00043880
Pgi01B00044180 Pgi01B00044190
Pgi01B00044340 Pgi01B00044350
Pgi01B00044660 Pgi01B00044670
Pgi01B00044770 Pgi01B00044790
Pgi01B00044790 Pgi01B00044800
Pgi01B00044790 Pgi01B00044810
Pgi01B00044800 Pgi01B00044810
Pgi01B00044800 Pgi01B00044820
Pgi01B00044810 Pgi01B00044820
Pgi01B00044850 Pgi01B00044890
Pgi01B00044880 Pgi01B00044890
Pgi01B00044960 Pgi01B00044990
Pgi01B00045200 Pgi01B00045210
Pgi01B00045200 Pgi01B00045220
Pgi01B00045330 Pgi01B00045340
Pgi01B00045540 Pgi01B00045550
Pgi01B00045540 Pgi01B00045590
Pgi01B00045550 Pgi01B00045590
Pgi01B00045590 Pgi01B00045600
Pgi01B00045590 Pgi01B00045620
Pgi01B00045600 Pgi01B00045620
Pgi01B00045620 Pgi01B00045630
Pgi01B00045620 Pgi01B00045640
Pgi01B00045630 Pgi01B00045640
Pgi01B00045630 Pgi01B00045650
Pgi01B00045640 Pgi01B00045650
Pgi01B00045680 Pgi01B00045690
Pgi01B00045850 Pgi01B00045860
Pgi01B00046230 Pgi01B00046250
Pgi01B00046680 Pgi01B00046690
Pgi01B00046890 Pgi01B00046940
Pgi01B00046910 Pgi01B00046920
Pgi01B00046910 Pgi01B00046930
Pgi01B00046920 Pgi01B00046930
Pgi01B00046930 Pgi01B00046980
Pgi01B00046980 Pgi01B00047000
Pgi01B00047090 Pgi01B00047110
Pgi01B00047260 Pgi01B00047270
Pgi01B00047260 Pgi01B00047280
Pgi01B00047270 Pgi01B00047280
Pgi01B00047290 Pgi01B00047300
Pgi01B00047310 Pgi01B00047320
Pgi01B00047440 Pgi01B00047450
Pgi01B00047470 Pgi01B00047500
Pgi01B00047500 Pgi01B00047540
Pgi01B00047630 Pgi01B00047640
Pgi01B00047980 Pgi01B00047990
Pgi01B00047980 Pgi01B00048000
Pgi01B00047990 Pgi01B00048000
Pgi01B00048430 Pgi01B00048440
Pgi01B00048470 Pgi01B00048480
Pgi01B00048470 Pgi01B00048490
Pgi01B00048480 Pgi01B00048490
Pgi01B00048480 Pgi01B00048500
Pgi01B00048490 Pgi01B00048500
Pgi01B00048490 Pgi01B00048510
Pgi01B00048500 Pgi01B00048510
Pgi01B00048500 Pgi01B00048520
Pgi01B00048510 Pgi01B00048520
Pgi01B00048510 Pgi01B00048540
Pgi01B00048520 Pgi01B00048530
Pgi01B00048520 Pgi01B00048540
Pgi01B00048530 Pgi01B00048540
Pgi01B00049040 Pgi01B00049050
Pgi01B00049040 Pgi01B00049060
Pgi01B00049050 Pgi01B00049060
Pgi01B00049050 Pgi01B00049080
Pgi01B00049060 Pgi01B00049080
Pgi01B00049080 Pgi01B00049090
Pgi01B00049080 Pgi01B00049120
Pgi01B00049090 Pgi01B00049120
Pgi01B00049120 Pgi01B00049130
Pgi01B00049120 Pgi01B00049140
Pgi01B00049130 Pgi01B00049140
Pgi01B00049130 Pgi01B00049150
Pgi01B00049140 Pgi01B00049150
Pgi01B00049140 Pgi01B00049160
Pgi01B00049150 Pgi01B00049160
Pgi01B00049230 Pgi01B00049240
Pgi01B00049580 Pgi01B00049590
Pgi01B00049890 Pgi01B00049900
Pgi01B00049910 Pgi01B00049920
Pgi01B00050010 Pgi01B00050020
Pgi01B00050050 Pgi01B00050060
Pgi01B00050090 Pgi01B00050100
Pgi01B00050200 Pgi01B00050210
Pgi01B00050340 Pgi01B00050350
Pgi01B00050340 Pgi01B00050360
Pgi01B00050410 Pgi01B00050430
Pgi01B00050420 Pgi01B00050430
Pgi01B00050530 Pgi01B00050540
Pgi01B00050840 Pgi01B00050850
Pgi01B00050900 Pgi01B00050910
Pgi01B00051230 Pgi01B00051240
Pgi01B00051350 Pgi01B00051360
Pgi01B00051540 Pgi01B00051550
Pgi01B00051600 Pgi01B00051610
Pgi01B00051880 Pgi01B00051890
Pgi01B00051960 Pgi01B00051970
Pgi01B00051960 Pgi01B00051980
Pgi01B00051970 Pgi01B00051980
Pgi01B00051970 Pgi01B00051990
Pgi01B00051980 Pgi01B00051990
Pgi01B00052000 Pgi01B00052010
Pgi01B00052180 Pgi01B00052190
Pgi01B00052310 Pgi01B00052340
Pgi01B00052500 Pgi01B00052510
Pgi01B00052500 Pgi01B00052530
Pgi01B00052510 Pgi01B00052530
Pgi01B00052670 Pgi01B00052680
Pgi01B00052910 Pgi01B00052960
Pgi01B00053000 Pgi01B00053010
Pgi01B00053000 Pgi01B00053020
Pgi01B00053010 Pgi01B00053030
Pgi01B00053020 Pgi01B00053030
Pgi01B00053020 Pgi01B00053040
Pgi01B00053030 Pgi01B00053040
Pgi01B00053500 Pgi01B00053520
Pgi01B00053560 Pgi01B00053570
Pgi01B00053850 Pgi01B00053860
Pgi01B00054140 Pgi01B00054150
Pgi01B00054140 Pgi01B00054160
Pgi01B00054150 Pgi01B00054160
Pgi01B00054150 Pgi01B00054170
Pgi01B00054160 Pgi01B00054170
Pgi01B00054160 Pgi01B00054180
Pgi01B00054170 Pgi01B00054180
Pgi01B00054170 Pgi01B00054190
Pgi01B00054180 Pgi01B00054190
Pgi01B00054420 Pgi01B00054440
Pgi01B00054470 Pgi01B00054490
Pgi01B00054840 Pgi01B00054860
Pgi01B00054930 Pgi01B00054940
Pgi01B00055050 Pgi01B00055070
Pgi01B00055180 Pgi01B00055190
Pgi01B00055210 Pgi01B00055220
Pgi01B00055370 Pgi01B00055410
Pgi01B00055410 Pgi01B00055430
Pgi01B00055480 Pgi01B00055500
Pgi01B00055550 Pgi01B00055560
Pgi01B00055820 Pgi01B00055840
Pgi01B00055970 Pgi01B00056000
Pgi01B00056050 Pgi01B00056060
Pgi01B00056050 Pgi01B00056070
Pgi01B00056060 Pgi01B00056070
Pgi01B00056080 Pgi01B00056090
Pgi01B00056080 Pgi01B00056110
Pgi01B00056090 Pgi01B00056110
Pgi01B00056110 Pgi01B00056130
Pgi01B00056240 Pgi01B00056260
Pgi01B00056360 Pgi01B00056370
Pgi01B00056400 Pgi01B00056410
Pgi01B00056400 Pgi01B00056420
Pgi01B00056410 Pgi01B00056420
Pgi01B00056580 Pgi01B00056620
Pgi01B00056590 Pgi01B00056600
Pgi01B00056590 Pgi01B00056630
Pgi01B00056600 Pgi01B00056630
Pgi01B00056610 Pgi01B00056660
Pgi01B00056630 Pgi01B00056650
Pgi01B00057160 Pgi01B00057190
Pgi01B00057180 Pgi01B00057200
Pgi01B00057200 Pgi01B00057210
Pgi01B00057200 Pgi01B00057220
Pgi01B00057210 Pgi01B00057220
Pgi01B00057210 Pgi01B00057230
Pgi01B00057220 Pgi01B00057230
Pgi01B00057220 Pgi01B00057240
Pgi01B00057230 Pgi01B00057240
Pgi01B00057230 Pgi01B00057250
Pgi01B00057240 Pgi01B00057250
Pgi01B00057320 Pgi01B00057330
Pgi01B00057400 Pgi01B00057420
Pgi01B00057770 Pgi01B00057780
Pgi01B00058030 Pgi01B00058050
Pgi01B00058070 Pgi01B00058120
Pgi01B00058120 Pgi01B00058150
Pgi01B00058130 Pgi01B00058140
Pgi01B00058260 Pgi01B00058270
Pgi01B00058260 Pgi01B00058280
Pgi01B00058270 Pgi01B00058280
Pgi01B00058340 Pgi01B00058350
Pgi01B00058340 Pgi01B00058360
Pgi01B00058350 Pgi01B00058360
Pgi01B00058390 Pgi01B00058410
Pgi01B00058460 Pgi01B00058470
Pgi01B00058650 Pgi01B00058680
Pgi01B00058710 Pgi01B00058720
Pgi01B00058710 Pgi01B00058740
Pgi01B00058720 Pgi01B00058740
Pgi01B00058730 Pgi01B00058740
Pgi01B00058730 Pgi01B00058770
Pgi01B00058740 Pgi01B00058770
Pgi01B00058770 Pgi01B00058780
Pgi01B00058850 Pgi01B00058860
Pgi01B00058850 Pgi01B00058870
Pgi01B00058860 Pgi01B00058870
Pgi01B00058920 Pgi01B00058930
Pgi01B00058920 Pgi01B00058950
Pgi01B00058930 Pgi01B00058950
Pgi01B00058940 Pgi01B00058950
Pgi01B00059080 Pgi01B00059090
Pgi01B00059150 Pgi01B00059190
Pgi01B00059190 Pgi01B00059200
Pgi01B00059420 Pgi01B00059440
Pgi01B00059440 Pgi01B00059450
Pgi01B00059560 Pgi01B00059570
Pgi01B00059590 Pgi01B00059600
Pgi01B00059710 Pgi01B00059720
Pgi01B00059800 Pgi01B00059850
Pgi01B00060280 Pgi01B00060290
Pgi01B00060280 Pgi01B00060300
Pgi01B00060290 Pgi01B00060300
Pgi01B00060360 Pgi01B00060370
Pgi01B00060590 Pgi01B00060600
Pgi01B00060810 Pgi01B00060850
Pgi01B00060910 Pgi01B00060920
Pgi01B00060960 Pgi01B00060970
Pgi01B00061040 Pgi01B00061060
Pgi01B00061090 Pgi01B00061100
Pgi01B00061140 Pgi01B00061150
Pgi01B00061140 Pgi01B00061160
Pgi01B00061150 Pgi01B00061160
Pgi01B00061180 Pgi01B00061190
Pgi01B00061270 Pgi01B00061280
Pgi01B00061520 Pgi01B00061530
Pgi01B00061590 Pgi01B00061600
Pgi01B00061590 Pgi01B00061610
Pgi01B00061600 Pgi01B00061610
Pgi01B00061600 Pgi01B00061620
Pgi01B00061610 Pgi01B00061620
Pgi01B00061830 Pgi01B00061840
Pgi01B00061830 Pgi01B00061850
Pgi01B00061840 Pgi01B00061850
Pgi01B00061870 Pgi01B00061880
Pgi01B00061870 Pgi01B00061890
Pgi01B00061880 Pgi01B00061890
Pgi01B00062090 Pgi01B00062100
Pgi01B00062190 Pgi01B00062200
Pgi01B00062490 Pgi01B00062500
Pgi01B00062520 Pgi01B00062530
Pgi01B00062660 Pgi01B00062670
Pgi01B00062750 Pgi01B00062770
Pgi01B00062770 Pgi01B00062780
Pgi01B00062970 Pgi01B00063000
Pgi01B00062980 Pgi01B00062990
Pgi01B00063070 Pgi01B00063080
Pgi01B00063070 Pgi01B00063090
Pgi01B00063080 Pgi01B00063090
Pgi01B00063110 Pgi01B00063120
Pgi01B00063270 Pgi01B00063280
Pgi01B00063270 Pgi01B00063290
Pgi01B00063280 Pgi01B00063290
Pgi01B00063280 Pgi01B00063300
Pgi01B00063290 Pgi01B00063300
Pgi01B00063420 Pgi01B00063430
Pgi01B00063790 Pgi01B00063800
Pgi01B00063790 Pgi01B00063810
Pgi01B00063800 Pgi01B00063810
Pgi01B00063800 Pgi01B00063820
Pgi01B00063810 Pgi01B00063820
Pgi01B00064140 Pgi01B00064190
Pgi01B00064230 Pgi01B00064240
Pgi01B00064300 Pgi01B00064320
Pgi01B00064320 Pgi01B00064330
Pgi01B00064450 Pgi01B00064500
Pgi01B00064460 Pgi01B00064480
Pgi01B00064480 Pgi01B00064490
Pgi01B00064530 Pgi01B00064540
Pgi01B00064610 Pgi01B00064630
Pgi01B00064620 Pgi01B00064630
Pgi01B00064620 Pgi01B00064640
Pgi01B00064630 Pgi01B00064640
Pgi01B00064630 Pgi01B00064660
Pgi01B00064650 Pgi01B00064670
Pgi01B00064680 Pgi01B00064690
Pgi01B00064750 Pgi01B00064760
Pgi01B00064750 Pgi01B00064780
Pgi01B00064760 Pgi01B00064780
Pgi01B00064870 Pgi01B00064880
Pgi01B00064920 Pgi01B00064940
Pgi01B00064940 Pgi01B00064950
Pgi01B00065010 Pgi01B00065030
Pgi01B00065020 Pgi01B00065030
Pgi01B00065110 Pgi01B00065120
Pgi01B00065110 Pgi01B00065130
Pgi01B00065120 Pgi01B00065130
Pgi01B00065340 Pgi01B00065360
Pgi01B00065340 Pgi01B00065350
Pgi01B00065360 Pgi01B00065350
Pgi01B00065380 Pgi01B00065390
Pgi01B00065380 Pgi01B00065420
Pgi01B00065390 Pgi01B00065420
Pgi01B00065420 Pgi01B00065460
Pgi01B00065540 Pgi01B00065550
Pgi01B00065720 Pgi01B00065730
Pgi01B00065720 Pgi01B00065740
Pgi01B00065730 Pgi01B00065740
Pgi01B00066080 Pgi01B00066100
Pgi01B00066160 Pgi01B00066180
Pgi01B00066610 Pgi01B00066630
Pgi02A00000270 Pgi02A00000280
Pgi02A00000810 Pgi02A00000820
Pgi02A00000810 Pgi02A00000830
Pgi02A00000820 Pgi02A00000830
Pgi02A00000820 Pgi02A00000840
Pgi02A00000830 Pgi02A00000840
Pgi02A00000830 Pgi02A00000850
Pgi02A00000840 Pgi02A00000870
Pgi02A00000850 Pgi02A00000870
Pgi02A00000890 Pgi02A00000900
Pgi02A00000930 Pgi02A00000960
Pgi02A00000940 Pgi02A00000980
Pgi02A00000950 Pgi02A00000990
Pgi02A00000990 Pgi02A00001000
Pgi02A00001440 Pgi02A00001450
Pgi02A00001440 Pgi02A00001480
Pgi02A00001450 Pgi02A00001480
Pgi02A00001530 Pgi02A00001540
Pgi02A00001530 Pgi02A00001550
Pgi02A00001540 Pgi02A00001550
Pgi02A00001690 Pgi02A00001700
Pgi02A00001730 Pgi02A00001740
Pgi02A00001790 Pgi02A00001810
Pgi02A00001810 Pgi02A00001820
Pgi02A00002000 Pgi02A00002010
Pgi02A00002000 Pgi02A00002020
Pgi02A00002010 Pgi02A00002020
Pgi02A00002010 Pgi02A00002030
Pgi02A00002020 Pgi02A00002030
Pgi02A00002080 Pgi02A00002100
Pgi02A00002090 Pgi02A00002110
Pgi02A00002640 Pgi02A00002650
Pgi02A00002770 Pgi02A00002780
Pgi02A00002840 Pgi02A00002850
Pgi02A00002960 Pgi02A00002970
Pgi02A00003000 Pgi02A00003010
Pgi02A00003020 Pgi02A00003040
Pgi02A00003040 Pgi02A00003050
Pgi02A00003110 Pgi02A00003120
Pgi02A00003220 Pgi02A00003250
Pgi02A00003250 Pgi02A00003260
Pgi02A00003540 Pgi02A00003550
Pgi02A00003670 Pgi02A00003680
Pgi02A00003770 Pgi02A00003780
Pgi02A00003770 Pgi02A00003800
Pgi02A00003780 Pgi02A00003800
Pgi02A00004010 Pgi02A00004020
Pgi02A00004010 Pgi02A00004030
Pgi02A00004020 Pgi02A00004030
Pgi02A00004020 Pgi02A00004040
Pgi02A00004030 Pgi02A00004040
Pgi02A00004090 Pgi02A00004100
Pgi02A00004240 Pgi02A00004290
Pgi02A00004340 Pgi02A00004350
Pgi02A00004490 Pgi02A00004530
Pgi02A00004640 Pgi02A00004660
Pgi02A00004730 Pgi02A00004750
Pgi02A00004750 Pgi02A00004770
Pgi02A00004770 Pgi02A00004780
Pgi02A00004910 Pgi02A00004950
Pgi02A00004950 Pgi02A00004960
Pgi02A00004950 Pgi02A00004970
Pgi02A00004960 Pgi02A00004970
Pgi02A00004960 Pgi02A00004990
Pgi02A00004970 Pgi02A00004990
Pgi02A00005050 Pgi02A00005080
Pgi02A00005100 Pgi02A00005120
Pgi02A00005200 Pgi02A00005210
Pgi02A00005220 Pgi02A00005240
Pgi02A00005270 Pgi02A00005280
Pgi02A00005340 Pgi02A00005350
Pgi02A00005370 Pgi02A00005380
Pgi02A00005370 Pgi02A00005400
Pgi02A00005380 Pgi02A00005400
Pgi02A00005430 Pgi02A00005460
Pgi02A00005560 Pgi02A00005570
Pgi02A00005560 Pgi02A00005580
Pgi02A00005570 Pgi02A00005580
Pgi02A00005570 Pgi02A00005590
Pgi02A00005580 Pgi02A00005590
Pgi02A00005620 Pgi02A00005630
Pgi02A00005620 Pgi02A00005640
Pgi02A00005630 Pgi02A00005640
Pgi02A00005670 Pgi02A00005710
Pgi02A00005890 Pgi02A00005910
Pgi02A00005900 Pgi02A00005920
Pgi02A00006100 Pgi02A00006110
Pgi02A00006100 Pgi02A00006120
Pgi02A00006110 Pgi02A00006120
Pgi02A00006210 Pgi02A00006220
Pgi02A00006810 Pgi02A00006830
Pgi02A00006820 Pgi02A00006830
Pgi02A00007260 Pgi02A00007270
