gene:Et_10A_000251 gene:Et_10A_000994
gene:Et_1B_010057 gene:Et_1B_011372
gene:Et_1B_011371 gene:Et_1B_013866
gene:Et_1B_011379 gene:Et_1B_011382
gene:Et_1B_011377 gene:Et_1B_011386
gene:Et_1B_011386 gene:Et_1B_011387
gene:Et_1B_011401 gene:Et_1B_010067
gene:Et_1B_010067 gene:Et_1B_009733
gene:Et_1B_013872 gene:Et_1B_011412
gene:Et_1B_011410 gene:Et_1B_011411
gene:Et_1B_011408 gene:Et_1B_011423
gene:Et_1B_011423 gene:Et_1B_011424
gene:Et_1B_011425 gene:Et_1B_011426
gene:Et_1B_011436 gene:Et_1B_011435
gene:Et_1B_011435 gene:Et_1B_011434
gene:Et_1B_010072 gene:Et_1B_011429
gene:Et_1B_011437 gene:Et_1B_011430
gene:Et_1B_011438 gene:Et_1B_011430
gene:Et_1B_013881 gene:Et_1B_011439
gene:Et_1B_011430 gene:Et_1B_011439
gene:Et_1B_011430 gene:Et_1B_011431
gene:Et_1B_011439 gene:Et_1B_011431
gene:Et_1B_011446 gene:Et_1B_011447
gene:Et_1B_011445 gene:Et_1B_013886
gene:Et_1B_013891 gene:Et_1B_011468
gene:Et_1B_013895 gene:Et_1B_011484
gene:Et_1B_011494 gene:Et_1B_011495
gene:Et_1B_011512 gene:Et_1B_013902
gene:Et_1B_011521 gene:Et_1B_011519
gene:Et_1B_011521 gene:Et_1B_011520
gene:Et_1B_011551 gene:Et_1B_011546
gene:Et_1B_011551 gene:Et_1B_011552
gene:Et_1B_011546 gene:Et_1B_011552
gene:Et_1B_011546 gene:Et_1B_011547
gene:Et_1B_011552 gene:Et_1B_011547
gene:Et_1B_011583 gene:Et_1B_013915
gene:Et_1B_011586 gene:Et_1B_013917
gene:Et_1B_011591 gene:Et_1B_011592
gene:Et_1B_013920 gene:Et_1B_013921
gene:Et_1B_011615 gene:Et_1B_013926
gene:Et_1B_013926 gene:Et_1B_011611
gene:Et_1B_013926 gene:Et_1B_011612
gene:Et_1B_011611 gene:Et_1B_011612
gene:Et_1B_011611 gene:Et_1B_011613
gene:Et_1B_011612 gene:Et_1B_011613
gene:Et_1B_011612 gene:Et_1B_011614
gene:Et_1B_011613 gene:Et_1B_011614
gene:Et_1B_011618 gene:Et_1B_011621
gene:Et_1B_011626 gene:Et_1B_010110
gene:Et_1B_013928 gene:Et_1B_011634
gene:Et_1B_013937 gene:Et_1B_011673
gene:Et_1B_011673 gene:Et_1B_011674
gene:Et_1B_013936 gene:Et_1B_011674
gene:Et_1B_013946 gene:Et_1B_013947
gene:Et_1B_011712 gene:Et_1B_013950
gene:Et_1B_011711 gene:Et_1B_011710
gene:Et_1B_013950 gene:Et_1B_011713
gene:Et_1B_011710 gene:Et_1B_011713
gene:Et_1B_011720 gene:Et_1B_011719
gene:Et_1B_011719 gene:Et_1B_011718
gene:Et_1B_011719 gene:Et_1B_011721
gene:Et_1B_011718 gene:Et_1B_011721
gene:Et_1B_011718 gene:Et_1B_013954
gene:Et_1B_011721 gene:Et_1B_013954
gene:Et_1B_011721 gene:Et_1B_013955
gene:Et_1B_013954 gene:Et_1B_013955
gene:Et_1B_013954 gene:Et_1B_013956
gene:Et_1B_013955 gene:Et_1B_013956
gene:Et_1B_013955 gene:Et_1B_013953
gene:Et_1B_013956 gene:Et_1B_013953
gene:Et_1B_013953 gene:Et_1B_011715
gene:Et_1B_011729 gene:Et_1B_011730
gene:Et_1B_011740 gene:Et_1B_011739
gene:Et_1B_011746 gene:Et_1B_011745
gene:Et_1B_011770 gene:Et_1B_011765
gene:Et_1B_011780 gene:Et_1B_011782
gene:Et_1B_011803 gene:Et_1B_011801
gene:Et_1B_011803 gene:Et_1B_011802
gene:Et_1B_011821 gene:Et_1B_011822
gene:Et_1B_011827 gene:Et_1B_010150
gene:Et_1B_011832 gene:Et_1B_009780
gene:Et_1B_013985 gene:Et_1B_013986
gene:Et_1B_013985 gene:Et_1B_011838
gene:Et_1B_013986 gene:Et_1B_011838
gene:Et_1B_013988 gene:Et_1B_011847
gene:Et_1B_011848 gene:Et_1B_011854
gene:Et_1B_011853 gene:Et_1B_011854
gene:Et_1B_011850 gene:Et_1B_009781
gene:Et_1B_011854 gene:Et_1B_011855
gene:Et_1B_013989 gene:Et_1B_011859
gene:Et_1B_011858 gene:Et_1B_011859
gene:Et_1B_011863 gene:Et_1B_011865
gene:Et_1B_011874 gene:Et_1B_013992
gene:Et_1B_013993 gene:Et_1B_011879
gene:Et_1B_011882 gene:Et_1B_010156
gene:Et_1B_011883 gene:Et_1B_011884
gene:Et_1B_011877 gene:Et_1B_011878
gene:Et_1B_011888 gene:Et_1B_011886
gene:Et_1B_013996 gene:Et_1B_013995
gene:Et_1B_013996 gene:Et_1B_014001
gene:Et_1B_013995 gene:Et_1B_014001
gene:Et_1B_013995 gene:Et_1B_014002
gene:Et_1B_014001 gene:Et_1B_014002
gene:Et_1B_011920 gene:Et_1B_011921
gene:Et_1B_011924 gene:Et_1B_011929
gene:Et_1B_011926 gene:Et_1B_011932
gene:Et_1B_014012 gene:Et_1B_014013
gene:Et_1B_011941 gene:Et_1B_011950
gene:Et_1B_011948 gene:Et_1B_011946
gene:Et_1B_011948 gene:Et_1B_011947
gene:Et_1B_011946 gene:Et_1B_011947
gene:Et_1B_011950 gene:Et_1B_011949
gene:Et_1B_011955 gene:Et_1B_011957
gene:Et_1B_011956 gene:Et_1B_011954
gene:Et_1B_009798 gene:Et_1B_009799
gene:Et_1B_011969 gene:Et_1B_014018
gene:Et_1B_011965 gene:Et_1B_011967
gene:Et_1B_009801 gene:Et_1B_011978
gene:Et_1B_011978 gene:Et_1B_011979
gene:Et_1B_014024 gene:Et_1B_011983
gene:Et_1B_014025 gene:Et_1B_011983
gene:Et_1B_014025 gene:Et_1B_011986
gene:Et_1B_011983 gene:Et_1B_011986
gene:Et_1B_012015 gene:Et_1B_014033
gene:Et_1B_014036 gene:Et_1B_012019
gene:Et_1B_014036 gene:Et_1B_012016
gene:Et_1B_012019 gene:Et_1B_012018
gene:Et_1B_012020 gene:Et_1B_012018
gene:Et_1B_012018 gene:Et_1B_012016
gene:Et_1B_012018 gene:Et_1B_010177
gene:Et_1B_012016 gene:Et_1B_010177
gene:Et_1B_012016 gene:Et_1B_012022
gene:Et_1B_010177 gene:Et_1B_012022
gene:Et_1B_010177 gene:Et_1B_012023
gene:Et_1B_012022 gene:Et_1B_012023
gene:Et_1B_012022 gene:Et_1B_012021
gene:Et_1B_012023 gene:Et_1B_012021
gene:Et_1B_012023 gene:Et_1B_010178
gene:Et_1B_012021 gene:Et_1B_010178
gene:Et_1B_010178 gene:Et_1B_010179
gene:Et_1B_014037 gene:Et_1B_012025
gene:Et_1B_010179 gene:Et_1B_012026
gene:Et_1B_012026 gene:Et_1B_012031
gene:Et_1B_012028 gene:Et_1B_010180
gene:Et_1B_014038 gene:Et_1B_012029
gene:Et_1B_012032 gene:Et_1B_012040
gene:Et_1B_012032 gene:Et_1B_012041
gene:Et_1B_012040 gene:Et_1B_012041
gene:Et_1B_012035 gene:Et_1B_012036
gene:Et_1B_014040 gene:Et_1B_012047
gene:Et_1B_014040 gene:Et_1B_012044
gene:Et_1B_012047 gene:Et_1B_012044
gene:Et_1B_012045 gene:Et_1B_014041
gene:Et_1B_014041 gene:Et_1B_014042
gene:Et_1B_012053 gene:Et_1B_009806
gene:Et_1B_012060 gene:Et_1B_012055
gene:Et_1B_012057 gene:Et_1B_012055
gene:Et_1B_012061 gene:Et_1B_012055
gene:Et_1B_014043 gene:Et_1B_010183
gene:Et_1B_012074 gene:Et_1B_012073
gene:Et_1B_012079 gene:Et_1B_014046
gene:Et_1B_012080 gene:Et_1B_012081
gene:Et_1B_014046 gene:Et_1B_012082
gene:Et_1B_009810 gene:Et_1B_010186
gene:Et_1B_012086 gene:Et_1B_012087
gene:Et_1B_012088 gene:Et_1B_012093
gene:Et_1B_012092 gene:Et_1B_012091
gene:Et_1B_012092 gene:Et_1B_012094
gene:Et_1B_012091 gene:Et_1B_012094
gene:Et_1B_009813 gene:Et_1B_014057
gene:Et_1B_009813 gene:Et_1B_012111
gene:Et_1B_014057 gene:Et_1B_012111
gene:Et_1B_012116 gene:Et_1B_012121
gene:Et_1B_012127 gene:Et_1B_012126
gene:Et_1B_012126 gene:Et_1B_012125
gene:Et_1B_012126 gene:Et_1B_012119
gene:Et_1B_012125 gene:Et_1B_012119
gene:Et_1B_014064 gene:Et_1B_014065
gene:Et_1B_014068 gene:Et_1B_014069
gene:Et_1B_012187 gene:Et_1B_012178
gene:Et_1B_012190 gene:Et_1B_012193
gene:Et_1B_012192 gene:Et_1B_012191
gene:Et_1B_012194 gene:Et_1B_012196
gene:Et_1B_012242 gene:Et_1B_014084
gene:Et_1B_014087 gene:Et_1B_012248
gene:Et_1B_012270 gene:Et_1B_012271
gene:Et_1B_012293 gene:Et_1B_012287
gene:Et_1B_012299 gene:Et_1B_012296
gene:Et_1B_014100 gene:Et_1B_012310
gene:Et_1B_014101 gene:Et_1B_012310
gene:Et_1B_014123 gene:Et_1B_012395
gene:Et_1B_014123 gene:Et_1B_014124
gene:Et_1B_012395 gene:Et_1B_014124
gene:Et_1B_012397 gene:Et_1B_012398
gene:Et_1B_012400 gene:Et_1B_012401
gene:Et_1B_012408 gene:Et_1B_012409
gene:Et_1B_012409 gene:Et_1B_009838
gene:Et_1B_012404 gene:Et_1B_012407
gene:Et_1B_012417 gene:Et_1B_012418
gene:Et_1B_012417 gene:Et_1B_012416
gene:Et_1B_012418 gene:Et_1B_012416
gene:Et_1B_012415 gene:Et_1B_014128
gene:Et_1B_014128 gene:Et_1B_014129
gene:Et_1B_012425 gene:Et_1B_012422
gene:Et_1B_014130 gene:Et_1B_012423
gene:Et_1B_014130 gene:Et_1B_012428
gene:Et_1B_012423 gene:Et_1B_012428
gene:Et_1B_012460 gene:Et_1B_010250
gene:Et_1B_012460 gene:Et_1B_014139
gene:Et_1B_009840 gene:Et_1B_009841
gene:Et_1B_012478 gene:Et_1B_012479
gene:Et_1B_012481 gene:Et_1B_012482
gene:Et_1B_012474 gene:Et_1B_012490
gene:Et_1B_009845 gene:Et_1B_009843
gene:Et_1B_012492 gene:Et_1B_012487
gene:Et_1B_012506 gene:Et_1B_012507
gene:Et_1B_012510 gene:Et_1B_012511
gene:Et_1B_010253 gene:Et_1B_010254
gene:Et_1B_012522 gene:Et_1B_012523
gene:Et_1B_014149 gene:Et_1B_012529
gene:Et_1B_014149 gene:Et_1B_014151
gene:Et_1B_012529 gene:Et_1B_014150
gene:Et_1B_012529 gene:Et_1B_014151
gene:Et_1B_012532 gene:Et_1B_014153
gene:Et_1B_009851 gene:Et_1B_009852
gene:Et_1B_012568 gene:Et_1B_012569
gene:Et_1B_012572 gene:Et_1B_012573
gene:Et_1B_012580 gene:Et_1B_012582
gene:Et_1B_012601 gene:Et_1B_012603
gene:Et_1B_012601 gene:Et_1B_012602
gene:Et_1B_012603 gene:Et_1B_014167
gene:Et_1B_012603 gene:Et_1B_012602
gene:Et_1B_014167 gene:Et_1B_012602
gene:Et_1B_012600 gene:Et_1B_012608
gene:Et_1B_012600 gene:Et_1B_012609
gene:Et_1B_012608 gene:Et_1B_012609
gene:Et_1B_012608 gene:Et_1B_012610
gene:Et_1B_012609 gene:Et_1B_012610
gene:Et_1B_012609 gene:Et_1B_012611
gene:Et_1B_012610 gene:Et_1B_012611
gene:Et_1B_012610 gene:Et_1B_012612
gene:Et_1B_012611 gene:Et_1B_012612
gene:Et_1B_014169 gene:Et_1B_012617
gene:Et_1B_012657 gene:Et_1B_009858
gene:Et_1B_012679 gene:Et_1B_014182
gene:Et_1B_012683 gene:Et_1B_012689
gene:Et_1B_012746 gene:Et_1B_012735
gene:Et_1B_012760 gene:Et_1B_012761
gene:Et_1B_010289 gene:Et_1B_012785
gene:Et_1B_010288 gene:Et_1B_012785
gene:Et_1B_010291 gene:Et_1B_014199
gene:Et_1B_014201 gene:Et_1B_014202
gene:Et_1B_014201 gene:Et_1B_014203
gene:Et_1B_014202 gene:Et_1B_014203
gene:Et_1B_014202 gene:Et_1B_010293
gene:Et_1B_014203 gene:Et_1B_010293
gene:Et_1B_014207 gene:Et_1B_012830
gene:Et_1B_012850 gene:Et_1B_012851
gene:Et_2A_015254 gene:Et_2A_015255
gene:Et_2A_017597 gene:Et_2A_017596
gene:Et_2A_017673 gene:Et_2A_015203
gene:Et_2A_017764 gene:Et_2A_017763
gene:Et_2A_017836 gene:Et_2A_018766
gene:Et_2A_018766 gene:Et_2A_017843
gene:Et_2A_017839 gene:Et_2A_017838
gene:Et_2A_018012 gene:Et_2A_018015
gene:Et_2A_015258 gene:Et_2A_018086
gene:Et_2A_015324 gene:Et_2A_015323
gene:Et_2A_015402 gene:Et_2A_018123
gene:Et_2A_018133 gene:Et_2A_018136
gene:Et_2A_015445 gene:Et_2A_015501
gene:Et_2A_015559 gene:Et_2A_015558
gene:Et_2A_014823 gene:Et_2A_014499
gene:Et_2A_014838 gene:Et_2A_014837
gene:Et_2A_015992 gene:Et_2A_018245
gene:Et_2A_016000 gene:Et_2A_015998
gene:Et_2A_016000 gene:Et_2A_014530
gene:Et_2A_014530 gene:Et_2A_015999
gene:Et_2A_016092 gene:Et_2A_016091
gene:Et_2A_016194 gene:Et_2A_016195
gene:Et_2A_016194 gene:Et_2A_016193
gene:Et_2A_016195 gene:Et_2A_016193
gene:Et_2A_016196 gene:Et_2A_018300
gene:Et_2A_016290 gene:Et_2A_016289
gene:Et_2A_016458 gene:Et_2A_016459
gene:Et_2A_016550 gene:Et_2A_016554
gene:Et_2A_014590 gene:Et_2A_016554
gene:Et_2A_018387 gene:Et_2A_016554
gene:Et_2A_018467 gene:Et_2A_018468
gene:Et_2A_016874 gene:Et_2A_016873
gene:Et_2A_018468 gene:Et_2A_018469
gene:Et_2A_017107 gene:Et_2A_017103
gene:Et_2A_017108 gene:Et_2A_017110
gene:Et_2A_017110 gene:Et_2A_017109
gene:Et_2A_017111 gene:Et_2A_017208
gene:Et_2A_017205 gene:Et_2A_017204
gene:Et_2A_018533 gene:Et_2A_018534
gene:Et_2A_018533 gene:Et_2A_018538
gene:Et_2A_018534 gene:Et_2A_018538
gene:Et_2A_017299 gene:Et_2A_017302
gene:Et_2A_018567 gene:Et_2A_018565
gene:Et_2A_017558 gene:Et_2A_017559
gene:Et_2A_017557 gene:Et_2A_018628
gene:Et_2A_018628 gene:Et_2A_018626
gene:Et_2A_017580 gene:Et_2A_017579
gene:Et_2A_017580 gene:Et_2A_014691
gene:Et_2A_017579 gene:Et_2A_014691
gene:Et_2A_017575 gene:Et_2A_017581
gene:Et_2A_017590 gene:Et_2A_017589
gene:Et_2A_015196 gene:Et_2A_015197
gene:Et_2A_017622 gene:Et_2A_017620
gene:Et_2A_017622 gene:Et_2A_017623
gene:Et_2A_017620 gene:Et_2A_017623
gene:Et_2A_017620 gene:Et_2A_017621
gene:Et_2A_017632 gene:Et_2A_017635
gene:Et_2A_018659 gene:Et_2A_018666
gene:Et_2A_018660 gene:Et_2A_018661
gene:Et_2A_018661 gene:Et_2A_017636
gene:Et_2A_018667 gene:Et_2A_018663
gene:Et_2A_018667 gene:Et_2A_018664
gene:Et_2A_018663 gene:Et_2A_018664
gene:Et_2A_017647 gene:Et_2A_017646
gene:Et_2A_017647 gene:Et_2A_017650
gene:Et_2A_017646 gene:Et_2A_017650
gene:Et_2A_017646 gene:Et_2A_017648
gene:Et_2A_017650 gene:Et_2A_017648
gene:Et_2A_017650 gene:Et_2A_017653
gene:Et_2A_017648 gene:Et_2A_017653
gene:Et_2A_017653 gene:Et_2A_017652
gene:Et_2A_018676 gene:Et_2A_018673
gene:Et_2A_018677 gene:Et_2A_018673
gene:Et_2A_018684 gene:Et_2A_018686
gene:Et_2A_018684 gene:Et_2A_018687
gene:Et_2A_018686 gene:Et_2A_018687
gene:Et_2A_017691 gene:Et_2A_017687
gene:Et_2A_017691 gene:Et_2A_017690
gene:Et_2A_017687 gene:Et_2A_017690
gene:Et_2A_017687 gene:Et_2A_018688
gene:Et_2A_017690 gene:Et_2A_018688
gene:Et_2A_017693 gene:Et_2A_018690
gene:Et_2A_017695 gene:Et_2A_018692
gene:Et_2A_018692 gene:Et_2A_017698
gene:Et_2A_017700 gene:Et_2A_017701
gene:Et_2A_018695 gene:Et_2A_017711
gene:Et_2A_017696 gene:Et_2A_017711
gene:Et_2A_017715 gene:Et_2A_018704
gene:Et_2A_017725 gene:Et_2A_018707
gene:Et_2A_017743 gene:Et_2A_017739
gene:Et_2A_017742 gene:Et_2A_017740
gene:Et_2A_017742 gene:Et_2A_017739
gene:Et_2A_017740 gene:Et_2A_017739
gene:Et_2A_017740 gene:Et_2A_017741
gene:Et_2A_017739 gene:Et_2A_017741
gene:Et_2A_017767 gene:Et_2A_017766
gene:Et_2A_017787 gene:Et_2A_017786
gene:Et_2A_017785 gene:Et_2A_017786
gene:Et_2A_017784 gene:Et_2A_017790
gene:Et_2A_017790 gene:Et_2A_017788
gene:Et_2A_018741 gene:Et_2A_017811
gene:Et_2A_017811 gene:Et_2A_017806
gene:Et_2A_017821 gene:Et_2A_018750
gene:Et_2A_017821 gene:Et_2A_018751
gene:Et_2A_018750 gene:Et_2A_018751
gene:Et_2A_017834 gene:Et_2A_017831
gene:Et_2A_017834 gene:Et_2A_017833
gene:Et_2A_017831 gene:Et_2A_017833
gene:Et_2A_017833 gene:Et_2A_017832
gene:Et_2A_017833 gene:Et_2A_017835
gene:Et_2A_017832 gene:Et_2A_017835
gene:Et_2A_017855 gene:Et_2A_017859
gene:Et_2A_017859 gene:Et_2A_017860
gene:Et_2A_018774 gene:Et_2A_017865
gene:Et_2A_018774 gene:Et_2A_018775
gene:Et_2A_017865 gene:Et_2A_018775
gene:Et_2A_014702 gene:Et_2A_017871
gene:Et_2A_017877 gene:Et_2A_018783
gene:Et_2A_018785 gene:Et_2A_017892
gene:Et_2A_017892 gene:Et_2A_017891
gene:Et_2A_017892 gene:Et_2A_018791
gene:Et_2A_017891 gene:Et_2A_018791
gene:Et_2A_017891 gene:Et_2A_017896
gene:Et_2A_018791 gene:Et_2A_017896
gene:Et_2A_018789 gene:Et_2A_018786
gene:Et_2A_018790 gene:Et_2A_018786
gene:Et_2A_018787 gene:Et_2A_018788
gene:Et_2A_017906 gene:Et_2A_018795
gene:Et_2A_018795 gene:Et_2A_017912
gene:Et_2A_017903 gene:Et_2A_018796
gene:Et_2A_018799 gene:Et_2A_018798
gene:Et_2A_018800 gene:Et_2A_018798
gene:Et_2A_018800 gene:Et_2A_018801
gene:Et_2A_018798 gene:Et_2A_017916
gene:Et_2A_018798 gene:Et_2A_018801
gene:Et_2A_017916 gene:Et_2A_018801
gene:Et_2A_017935 gene:Et_2A_017933
gene:Et_2A_017935 gene:Et_2A_017934
gene:Et_2A_017933 gene:Et_2A_017934
gene:Et_2A_017934 gene:Et_2A_018814
gene:Et_2A_017939 gene:Et_2A_015213
gene:Et_2A_015213 gene:Et_2A_017940
gene:Et_2A_015213 gene:Et_2A_017941
gene:Et_2A_017940 gene:Et_2A_017941
gene:Et_2A_017945 gene:Et_2A_017946
gene:Et_2A_018817 gene:Et_2A_017949
gene:Et_2A_018820 gene:Et_2A_018824
gene:Et_2A_015215 gene:Et_2A_018821
gene:Et_2A_018824 gene:Et_2A_017955
gene:Et_2A_017955 gene:Et_2A_018823
gene:Et_2A_018822 gene:Et_2A_017951
gene:Et_2A_018822 gene:Et_2A_017956
gene:Et_2A_017951 gene:Et_2A_017956
gene:Et_2A_017960 gene:Et_2A_018826
gene:Et_2A_018829 gene:Et_2A_017965
gene:Et_2A_017965 gene:Et_2A_017964
gene:Et_2A_017975 gene:Et_2A_017976
gene:Et_2A_017975 gene:Et_2A_017971
gene:Et_2A_017976 gene:Et_2A_017971
gene:Et_2A_017976 gene:Et_2A_017977
gene:Et_2A_017971 gene:Et_2A_017977
gene:Et_2A_017972 gene:Et_2A_017973
gene:Et_2A_018834 gene:Et_2A_018835
gene:Et_2A_017978 gene:Et_2A_018831
gene:Et_2A_017978 gene:Et_2A_017979
gene:Et_2A_018831 gene:Et_2A_017979
gene:Et_2A_018831 gene:Et_2A_018832
gene:Et_2A_017979 gene:Et_2A_018832
gene:Et_2A_018832 gene:Et_2A_018833
gene:Et_2A_017991 gene:Et_2A_017992
gene:Et_2A_017997 gene:Et_2A_018841
gene:Et_2A_017999 gene:Et_2A_017993
gene:Et_2A_017993 gene:Et_2A_018844
gene:Et_2A_018844 gene:Et_2A_018845
gene:Et_2A_018844 gene:Et_2A_018001
gene:Et_2A_018845 gene:Et_2A_018001
gene:Et_2A_018845 gene:Et_2A_018000
gene:Et_2A_018001 gene:Et_2A_018000
gene:Et_2A_018004 gene:Et_2A_018006
gene:Et_2A_018000 gene:Et_2A_015222
gene:Et_2A_018008 gene:Et_2A_018007
gene:Et_2A_018016 gene:Et_2A_018019
gene:Et_2A_018019 gene:Et_2A_018023
gene:Et_2A_018855 gene:Et_2A_018039
gene:Et_2A_018047 gene:Et_2A_018053
gene:Et_2A_014721 gene:Et_2A_018063
gene:Et_2A_015265 gene:Et_2A_015267
gene:Et_2A_015269 gene:Et_2A_015271
gene:Et_2A_015271 gene:Et_2A_015270
gene:Et_2A_018092 gene:Et_2A_015275
gene:Et_2A_018094 gene:Et_2A_015284
gene:Et_2A_018095 gene:Et_2A_018097
gene:Et_2A_018096 gene:Et_2A_015284
gene:Et_2A_018097 gene:Et_2A_015284
gene:Et_2A_018097 gene:Et_2A_015281
gene:Et_2A_015284 gene:Et_2A_015281
gene:Et_2A_014728 gene:Et_2A_015290
gene:Et_2A_015288 gene:Et_2A_015287
gene:Et_2A_015293 gene:Et_2A_015294
gene:Et_2A_014467 gene:Et_2A_014468
gene:Et_2A_015299 gene:Et_2A_015300
gene:Et_2A_015305 gene:Et_2A_015306
gene:Et_2A_014735 gene:Et_2A_014736
gene:Et_2A_014735 gene:Et_2A_014471
gene:Et_2A_014736 gene:Et_2A_014471
gene:Et_2A_018103 gene:Et_2A_015329
gene:Et_2A_015327 gene:Et_2A_015330
gene:Et_2A_015328 gene:Et_2A_015330
gene:Et_2A_015334 gene:Et_2A_018104
gene:Et_2A_015346 gene:Et_2A_015345
gene:Et_2A_015344 gene:Et_2A_018110
gene:Et_2A_014474 gene:Et_2A_015353
gene:Et_2A_018112 gene:Et_2A_015356
gene:Et_2A_015356 gene:Et_2A_018114
gene:Et_2A_018119 gene:Et_2A_014749
gene:Et_2A_015375 gene:Et_2A_014749
gene:Et_2A_015391 gene:Et_2A_015389
gene:Et_2A_015391 gene:Et_2A_014751
gene:Et_2A_015389 gene:Et_2A_015390
gene:Et_2A_015389 gene:Et_2A_014751
gene:Et_2A_015390 gene:Et_2A_014751
gene:Et_2A_015408 gene:Et_2A_018127
gene:Et_2A_015416 gene:Et_2A_015420
gene:Et_2A_015420 gene:Et_2A_015421
gene:Et_2A_015422 gene:Et_2A_015423
gene:Et_2A_015428 gene:Et_2A_015434
gene:Et_2A_015438 gene:Et_2A_018129
gene:Et_2A_015437 gene:Et_2A_015440
gene:Et_2A_015459 gene:Et_2A_015461
gene:Et_2A_015459 gene:Et_2A_015460
gene:Et_2A_015461 gene:Et_2A_015462
gene:Et_2A_015460 gene:Et_2A_015463
gene:Et_2A_015460 gene:Et_2A_015462
gene:Et_2A_015463 gene:Et_2A_015462
gene:Et_2A_015463 gene:Et_2A_015465
gene:Et_2A_015462 gene:Et_2A_015464
gene:Et_2A_015462 gene:Et_2A_015465
gene:Et_2A_015464 gene:Et_2A_015465
gene:Et_2A_015473 gene:Et_2A_015475
gene:Et_2A_015490 gene:Et_2A_015491
gene:Et_2A_015490 gene:Et_2A_015493
gene:Et_2A_015491 gene:Et_2A_015493
gene:Et_2A_014778 gene:Et_2A_015512
gene:Et_2A_015512 gene:Et_2A_015514
gene:Et_2A_015522 gene:Et_2A_015519
gene:Et_2A_015522 gene:Et_2A_015520
gene:Et_2A_015519 gene:Et_2A_015520
gene:Et_2A_015519 gene:Et_2A_015518
gene:Et_2A_015520 gene:Et_2A_015518
gene:Et_2A_015520 gene:Et_2A_015521
gene:Et_2A_015518 gene:Et_2A_015521
gene:Et_2A_015521 gene:Et_2A_015524
gene:Et_2A_014783 gene:Et_2A_015534
gene:Et_2A_015532 gene:Et_2A_015526
gene:Et_2A_015532 gene:Et_2A_015534
gene:Et_2A_015526 gene:Et_2A_015534
gene:Et_2A_015534 gene:Et_2A_015530
gene:Et_2A_015534 gene:Et_2A_014781
gene:Et_2A_015530 gene:Et_2A_015527
gene:Et_2A_015530 gene:Et_2A_014781
gene:Et_2A_014779 gene:Et_2A_014780
gene:Et_2A_014779 gene:Et_2A_014781
gene:Et_2A_014780 gene:Et_2A_015529
gene:Et_2A_014781 gene:Et_2A_015528
gene:Et_2A_015533 gene:Et_2A_015531
gene:Et_2A_015529 gene:Et_2A_015531
gene:Et_2A_015529 gene:Et_2A_015528
gene:Et_2A_015531 gene:Et_2A_015528
gene:Et_2A_015545 gene:Et_2A_018150
gene:Et_2A_015546 gene:Et_2A_014788
gene:Et_2A_015554 gene:Et_2A_015549
gene:Et_2A_018159 gene:Et_2A_015568
gene:Et_2A_015566 gene:Et_2A_015567
gene:Et_2A_015568 gene:Et_2A_015567
gene:Et_2A_015567 gene:Et_2A_018158
gene:Et_2A_015587 gene:Et_2A_015586
gene:Et_2A_015622 gene:Et_2A_015620
gene:Et_2A_015622 gene:Et_2A_015621
gene:Et_2A_015620 gene:Et_2A_015621
gene:Et_2A_015620 gene:Et_2A_018167
gene:Et_2A_015621 gene:Et_2A_018167
gene:Et_2A_015619 gene:Et_2A_018167
gene:Et_2A_018167 gene:Et_2A_015625
gene:Et_2A_015646 gene:Et_2A_015647
gene:Et_2A_015673 gene:Et_2A_015674
gene:Et_2A_015700 gene:Et_2A_018183
gene:Et_2A_015715 gene:Et_2A_018186
gene:Et_2A_018189 gene:Et_2A_015727
gene:Et_2A_015733 gene:Et_2A_014829
gene:Et_2A_018192 gene:Et_2A_015745
gene:Et_2A_018192 gene:Et_2A_015742
gene:Et_2A_015745 gene:Et_2A_015742
gene:Et_2A_015742 gene:Et_2A_015750
gene:Et_2A_015744 gene:Et_2A_015750
gene:Et_2A_015741 gene:Et_2A_015750
gene:Et_2A_015743 gene:Et_2A_015750
gene:Et_2A_018193 gene:Et_2A_015750
gene:Et_2A_015752 gene:Et_2A_015753
gene:Et_2A_014831 gene:Et_2A_015759
gene:Et_2A_015774 gene:Et_2A_015773
gene:Et_2A_018199 gene:Et_2A_014836
gene:Et_2A_015813 gene:Et_2A_018205
gene:Et_2A_015824 gene:Et_2A_015818
gene:Et_2A_015818 gene:Et_2A_015819
gene:Et_2A_015815 gene:Et_2A_015825
gene:Et_2A_015819 gene:Et_2A_015825
gene:Et_2A_015819 gene:Et_2A_015823
gene:Et_2A_015825 gene:Et_2A_015817
gene:Et_2A_015823 gene:Et_2A_015817
gene:Et_2A_015823 gene:Et_2A_015821
gene:Et_2A_015817 gene:Et_2A_015821
gene:Et_2A_015816 gene:Et_2A_015821
gene:Et_2A_015821 gene:Et_2A_015820
gene:Et_2A_015821 gene:Et_2A_015822
gene:Et_2A_015820 gene:Et_2A_015822
gene:Et_2A_015820 gene:Et_2A_015833
gene:Et_2A_015822 gene:Et_2A_015833
gene:Et_2A_015833 gene:Et_2A_015827
gene:Et_2A_015833 gene:Et_2A_015832
gene:Et_2A_015827 gene:Et_2A_015832
gene:Et_2A_015827 gene:Et_2A_018207
gene:Et_2A_015832 gene:Et_2A_018208
gene:Et_2A_018207 gene:Et_2A_018208
gene:Et_2A_018211 gene:Et_2A_018212
gene:Et_2A_015842 gene:Et_2A_015841
