jcvi_default	jcvi_diamond	jcvi_blast	quota_Anchor_diamond	quota_Anchor_blast	jcvi_default_part1	jcvi_default_part2	jcvi_default_part3	jcvi_diamond_part1	jcvi_diamond_part2	jcvi_diamond_part3	jcvi_blast_part1	jcvi_blast_part2	jcvi_blast_part3
gene:Zm00001eb000680_gene:SORBI_3001G537600	gene:Zm00001eb000720_gene:SORBI_3001G536901	gene:Zm00001eb000720_gene:SORBI_3001G536901	gene:Zm00001eb022470_gene:SORBI_3001G310400	gene:Zm00001eb022470_gene:SORBI_3001G310400	gene:Zm00001eb000800_gene:SORBI_3001G536000	gene:Zm00001eb002310_gene:SORBI_3001G519100	gene:Zm00001eb124890_gene:SORBI_3003G081500	gene:Zm00001eb000890_gene:SORBI_3001G534000	gene:Zm00001eb002240_gene:SORBI_3001G520200	gene:Zm00001eb409270_gene:SORBI_3008G105500	gene:Zm00001eb000890_gene:SORBI_3001G534000	gene:Zm00001eb002240_gene:SORBI_3001G520200	gene:Zm00001eb104110_gene:SORBI_3002G285300
gene:Zm00001eb000690_gene:SORBI_3001G537300	gene:Zm00001eb000740_gene:SORBI_3001G536800	gene:Zm00001eb000740_gene:SORBI_3001G536800	gene:Zm00001eb022440_gene:SORBI_3001G310700	gene:Zm00001eb022440_gene:SORBI_3001G310700	gene:Zm00001eb000840_gene:SORBI_3001G535400	gene:Zm00001eb002430_gene:SORBI_3001G518400	gene:Zm00001eb127690_gene:SORBI_3003G116000	gene:Zm00001eb000900_gene:SORBI_3001G533900	gene:Zm00001eb002310_gene:SORBI_3001G519100	gene:Zm00001eb411380_gene:SORBI_3008G080100	gene:Zm00001eb000900_gene:SORBI_3001G533900	gene:Zm00001eb002310_gene:SORBI_3001G519100	gene:Zm00001eb105610_gene:SORBI_3002G311700
gene:Zm00001eb000700_gene:SORBI_3001G537200	gene:Zm00001eb000760_gene:SORBI_3001G536600	gene:Zm00001eb000760_gene:SORBI_3001G536600	gene:Zm00001eb022410_gene:SORBI_3001G311000	gene:Zm00001eb022410_gene:SORBI_3001G311000	gene:Zm00001eb000850_gene:SORBI_3001G535600	gene:Zm00001eb002460_gene:SORBI_3001G518100	gene:Zm00001eb129050_gene:SORBI_3003G135000	gene:Zm00001eb000910_gene:SORBI_3001G533800	gene:Zm00001eb002430_gene:SORBI_3001G518400	gene:Zm00001eb411680_gene:SORBI_3008G080100	gene:Zm00001eb000910_gene:SORBI_3001G533800	gene:Zm00001eb002430_gene:SORBI_3001G518400	gene:Zm00001eb117920_gene:SORBI_3002G019200
gene:Zm00001eb000710_gene:SORBI_3001G537100	gene:Zm00001eb000770_gene:SORBI_3001G536500	gene:Zm00001eb000770_gene:SORBI_3001G536500	gene:Zm00001eb022400_gene:SORBI_3001G311100	gene:Zm00001eb022400_gene:SORBI_3001G311100	gene:Zm00001eb000880_gene:SORBI_3001G534300	gene:Zm00001eb002470_gene:SORBI_3001G518000	gene:Zm00001eb142640_gene:SORBI_3003G410600	gene:Zm00001eb000920_gene:SORBI_3001G533700	gene:Zm00001eb002460_gene:SORBI_3001G518100	gene:Zm00001eb096900_gene:SORBI_3002G118700	gene:Zm00001eb000920_gene:SORBI_3001G533700	gene:Zm00001eb002460_gene:SORBI_3001G518100	gene:Zm00001eb117940_gene:SORBI_3002G018800
gene:Zm00001eb000720_gene:SORBI_3001G536901	gene:Zm00001eb000780_gene:SORBI_3001G536400	gene:Zm00001eb000780_gene:SORBI_3001G536400	gene:Zm00001eb022380_gene:SORBI_3001G311800	gene:Zm00001eb022380_gene:SORBI_3001G311800	gene:Zm00001eb000890_gene:SORBI_3001G534000	gene:Zm00001eb002480_gene:SORBI_3001G517900	gene:Zm00001eb156930_gene:SORBI_3003G256700	gene:Zm00001eb000930_gene:SORBI_3001G533600	gene:Zm00001eb002470_gene:SORBI_3001G518000	gene:Zm00001eb097100_gene:SORBI_3002G118700	gene:Zm00001eb000930_gene:SORBI_3001G533600	gene:Zm00001eb002470_gene:SORBI_3001G518000	gene:Zm00001eb118040_gene:SORBI_3002G013400
gene:Zm00001eb000740_gene:SORBI_3001G536800	gene:Zm00001eb000790_gene:SORBI_3001G536100	gene:Zm00001eb000790_gene:SORBI_3001G536100	gene:Zm00001eb022360_gene:SORBI_3001G311900	gene:Zm00001eb022360_gene:SORBI_3001G311900	gene:Zm00001eb000900_gene:SORBI_3001G533900	gene:Zm00001eb002530_gene:SORBI_3001G517500	gene:Zm00001eb163300_gene:SORBI_3008G008300	gene:Zm00001eb000990_gene:SORBI_3001G533200	gene:Zm00001eb002530_gene:SORBI_3001G517500	gene:Zm00001eb097720_gene:SORBI_3002G160200	gene:Zm00001eb000990_gene:SORBI_3001G533200	gene:Zm00001eb002530_gene:SORBI_3001G517500	gene:Zm00001eb093430_gene:SORBI_3005G024800
gene:Zm00001eb000760_gene:SORBI_3001G536600	gene:Zm00001eb000800_gene:SORBI_3001G536000	gene:Zm00001eb000800_gene:SORBI_3001G536000	gene:Zm00001eb022330_gene:SORBI_3001G312500	gene:Zm00001eb022330_gene:SORBI_3001G312500	gene:Zm00001eb000910_gene:SORBI_3001G533800	gene:Zm00001eb002610_gene:SORBI_3001G516100	gene:Zm00001eb163310_gene:SORBI_3008G008400	gene:Zm00001eb001000_gene:SORBI_3001G533100	gene:Zm00001eb002610_gene:SORBI_3001G516100	gene:Zm00001eb098620_gene:SORBI_3002G183200	gene:Zm00001eb001000_gene:SORBI_3001G533100	gene:Zm00001eb002610_gene:SORBI_3001G516100	gene:Zm00001eb113980_gene:SORBI_3005G153600
gene:Zm00001eb000770_gene:SORBI_3001G536500	gene:Zm00001eb000820_gene:SORBI_3001G535800	gene:Zm00001eb000820_gene:SORBI_3001G535800	gene:Zm00001eb022280_gene:SORBI_3001G312600	gene:Zm00001eb022280_gene:SORBI_3001G312600	gene:Zm00001eb000920_gene:SORBI_3001G533700	gene:Zm00001eb002660_gene:SORBI_3001G515800	gene:Zm00001eb133810_gene:SORBI_3008G080100	gene:Zm00001eb001010_gene:SORBI_3001G533000	gene:Zm00001eb002680_gene:SORBI_3001G515600	gene:Zm00001eb104110_gene:SORBI_3002G285300	gene:Zm00001eb001010_gene:SORBI_3001G533000	gene:Zm00001eb002660_gene:SORBI_3001G515800	gene:Zm00001eb114000_gene:SORBI_3005G153600
gene:Zm00001eb000780_gene:SORBI_3001G536400	gene:Zm00001eb000840_gene:SORBI_3001G535400	gene:Zm00001eb000840_gene:SORBI_3001G535400	gene:Zm00001eb022250_gene:SORBI_3001G312700	gene:Zm00001eb022250_gene:SORBI_3001G312700	gene:Zm00001eb000930_gene:SORBI_3001G533600	gene:Zm00001eb002680_gene:SORBI_3001G515600	gene:Zm00001eb189470_gene:SORBI_3004G255000	gene:Zm00001eb001020_gene:SORBI_3001G532900	gene:Zm00001eb002790_gene:SORBI_3001G514300	gene:Zm00001eb108510_gene:SORBI_3002G365801	gene:Zm00001eb001020_gene:SORBI_3001G532900	gene:Zm00001eb002680_gene:SORBI_3001G515600	gene:Zm00001eb114290_gene:SORBI_3005G166800
gene:Zm00001eb000800_gene:SORBI_3001G536000	gene:Zm00001eb000850_gene:SORBI_3001G535600	gene:Zm00001eb000850_gene:SORBI_3001G535600	gene:Zm00001eb022230_gene:SORBI_3001G312900	gene:Zm00001eb022230_gene:SORBI_3001G312900	gene:Zm00001eb000990_gene:SORBI_3001G533200	gene:Zm00001eb002790_gene:SORBI_3001G514300	gene:Zm00001eb165360_gene:SORBI_3005G210000	gene:Zm00001eb001040_gene:SORBI_3001G532700	gene:Zm00001eb002960_gene:SORBI_3001G512800	gene:Zm00001eb108520_gene:SORBI_3002G365600	gene:Zm00001eb001040_gene:SORBI_3001G532700	gene:Zm00001eb002790_gene:SORBI_3001G514300	gene:Zm00001eb069720_gene:SORBI_3006G223900
gene:Zm00001eb000820_gene:SORBI_3001G535800	gene:Zm00001eb000860_gene:SORBI_3001G534800	gene:Zm00001eb000860_gene:SORBI_3001G534800	gene:Zm00001eb022220_gene:SORBI_3001G313000	gene:Zm00001eb022220_gene:SORBI_3001G313000	gene:Zm00001eb001000_gene:SORBI_3001G533100	gene:Zm00001eb002800_gene:SORBI_3001G514200	gene:Zm00001eb165370_gene:SORBI_3005G208100	gene:Zm00001eb001050_gene:SORBI_3001G532600	gene:Zm00001eb003020_gene:SORBI_3001G512600	gene:Zm00001eb117920_gene:SORBI_3002G019200	gene:Zm00001eb001050_gene:SORBI_3001G532600	gene:Zm00001eb002960_gene:SORBI_3001G512800	gene:Zm00001eb069730_gene:SORBI_3006G223500
gene:Zm00001eb000840_gene:SORBI_3001G535400	gene:Zm00001eb000870_gene:SORBI_3001G534700	gene:Zm00001eb000870_gene:SORBI_3001G534700	gene:Zm00001eb022180_gene:SORBI_3001G313100	gene:Zm00001eb022180_gene:SORBI_3001G313100	gene:Zm00001eb001010_gene:SORBI_3001G533000	gene:Zm00001eb002960_gene:SORBI_3001G512800	gene:Zm00001eb201680_gene:SORBI_3005G147800	gene:Zm00001eb001060_gene:SORBI_3001G532501	gene:Zm00001eb003030_gene:SORBI_3001G512500	gene:Zm00001eb118040_gene:SORBI_3002G013400	gene:Zm00001eb001060_gene:SORBI_3001G532501	gene:Zm00001eb003020_gene:SORBI_3001G512600	gene:Zm00001eb069870_gene:SORBI_3006G223500
gene:Zm00001eb000850_gene:SORBI_3001G535600	gene:Zm00001eb000880_gene:SORBI_3001G534300	gene:Zm00001eb000880_gene:SORBI_3001G534300	gene:Zm00001eb022160_gene:SORBI_3001G313301	gene:Zm00001eb022160_gene:SORBI_3001G313301	gene:Zm00001eb001020_gene:SORBI_3001G532900	gene:Zm00001eb003020_gene:SORBI_3001G512600	gene:Zm00001eb180470_gene:SORBI_3007G175900	gene:Zm00001eb001070_gene:SORBI_3001G532400	gene:Zm00001eb003070_gene:SORBI_3001G512300	gene:Zm00001eb091110_gene:SORBI_3005G066432	gene:Zm00001eb001070_gene:SORBI_3001G532400	gene:Zm00001eb003030_gene:SORBI_3001G512500	gene:Zm00001eb069930_gene:SORBI_3006G223900
gene:Zm00001eb000860_gene:SORBI_3001G534800	gene:Zm00001eb000890_gene:SORBI_3001G534000	gene:Zm00001eb000890_gene:SORBI_3001G534000	gene:Zm00001eb022130_gene:SORBI_3001G313400	gene:Zm00001eb022130_gene:SORBI_3001G313400	gene:Zm00001eb001040_gene:SORBI_3001G532700	gene:Zm00001eb003030_gene:SORBI_3001G512500	gene:Zm00001eb202890_gene:SORBI_3007G175900	gene:Zm00001eb001110_gene:SORBI_3001G532100	gene:Zm00001eb003110_gene:SORBI_3001G512000	gene:Zm00001eb091140_gene:SORBI_3005G066432	gene:Zm00001eb001110_gene:SORBI_3001G532100	gene:Zm00001eb003070_gene:SORBI_3001G512300	gene:Zm00001eb074050_gene:SORBI_3006G178200
gene:Zm00001eb000870_gene:SORBI_3001G534700	gene:Zm00001eb000900_gene:SORBI_3001G533900	gene:Zm00001eb000900_gene:SORBI_3001G533900	gene:Zm00001eb022120_gene:SORBI_3001G313500	gene:Zm00001eb022120_gene:SORBI_3001G313500	gene:Zm00001eb001050_gene:SORBI_3001G532600	gene:Zm00001eb003070_gene:SORBI_3001G512300	gene:Zm00001eb237600_gene:SORBI_3004G121900	gene:Zm00001eb001120_gene:SORBI_3001G532000	gene:Zm00001eb003140_gene:SORBI_3001G511200	gene:Zm00001eb091170_gene:SORBI_3005G066432	gene:Zm00001eb001120_gene:SORBI_3001G532000	gene:Zm00001eb003110_gene:SORBI_3001G512000	gene:Zm00001eb076940_gene:SORBI_3006G152200
gene:Zm00001eb000880_gene:SORBI_3001G534300	gene:Zm00001eb000910_gene:SORBI_3001G533800	gene:Zm00001eb000910_gene:SORBI_3001G533800	gene:Zm00001eb022110_gene:SORBI_3001G313600	gene:Zm00001eb022110_gene:SORBI_3001G313600	gene:Zm00001eb001060_gene:SORBI_3001G532501	gene:Zm00001eb003110_gene:SORBI_3001G512000	gene:Zm00001eb242200_gene:SORBI_3004G162700	gene:Zm00001eb001130_gene:SORBI_3001G531900	gene:Zm00001eb003180_gene:SORBI_3001G510800	gene:Zm00001eb091180_gene:SORBI_3005G066432	gene:Zm00001eb001130_gene:SORBI_3001G531900	gene:Zm00001eb003140_gene:SORBI_3001G511200	gene:Zm00001eb077310_gene:SORBI_3006G152200
gene:Zm00001eb000890_gene:SORBI_3001G534000	gene:Zm00001eb000920_gene:SORBI_3001G533700	gene:Zm00001eb000920_gene:SORBI_3001G533700	gene:Zm00001eb022080_gene:SORBI_3001G313700	gene:Zm00001eb022080_gene:SORBI_3001G313700	gene:Zm00001eb001070_gene:SORBI_3001G532400	gene:Zm00001eb003140_gene:SORBI_3001G511200	gene:Zm00001eb269450_gene:SORBI_3010G017100	gene:Zm00001eb001140_gene:SORBI_3001G531800	gene:Zm00001eb003210_gene:SORBI_3001G510500	gene:Zm00001eb091190_gene:SORBI_3005G066432	gene:Zm00001eb001140_gene:SORBI_3001G531800	gene:Zm00001eb003180_gene:SORBI_3001G510800	gene:Zm00001eb077740_gene:SORBI_3006G148500
gene:Zm00001eb000900_gene:SORBI_3001G533900	gene:Zm00001eb000930_gene:SORBI_3001G533600	gene:Zm00001eb000930_gene:SORBI_3001G533600	gene:Zm00001eb022070_gene:SORBI_3001G313800	gene:Zm00001eb022070_gene:SORBI_3001G313800	gene:Zm00001eb001110_gene:SORBI_3001G532100	gene:Zm00001eb003180_gene:SORBI_3001G510800	gene:Zm00001eb260630_gene:SORBI_3007G014600	gene:Zm00001eb001150_gene:SORBI_3001G531700	gene:Zm00001eb003240_gene:SORBI_3001G510400	gene:Zm00001eb114290_gene:SORBI_3005G166800	gene:Zm00001eb001150_gene:SORBI_3001G531700	gene:Zm00001eb003210_gene:SORBI_3001G510500	gene:Zm00001eb078920_gene:SORBI_3006G129200
gene:Zm00001eb000910_gene:SORBI_3001G533800	gene:Zm00001eb000970_gene:SORBI_3001G533400	gene:Zm00001eb000970_gene:SORBI_3001G533400	gene:Zm00001eb022050_gene:SORBI_3001G314000	gene:Zm00001eb022050_gene:SORBI_3001G314000	gene:Zm00001eb001120_gene:SORBI_3001G532000	gene:Zm00001eb003210_gene:SORBI_3001G510500	gene:Zm00001eb265820_gene:SORBI_3009G022100	gene:Zm00001eb001170_gene:SORBI_3001G531500	gene:Zm00001eb003350_gene:SORBI_3001G509500	gene:Zm00001eb069090_gene:SORBI_3006G234300	gene:Zm00001eb001170_gene:SORBI_3001G531500	gene:Zm00001eb003240_gene:SORBI_3001G510400	gene:Zm00001eb083310_gene:SORBI_3006G076400
gene:Zm00001eb000920_gene:SORBI_3001G533700	gene:Zm00001eb000980_gene:SORBI_3001G533300	gene:Zm00001eb000980_gene:SORBI_3001G533300	gene:Zm00001eb022040_gene:SORBI_3001G314200	gene:Zm00001eb022040_gene:SORBI_3001G314200	gene:Zm00001eb001130_gene:SORBI_3001G531900	gene:Zm00001eb003240_gene:SORBI_3001G510400	gene:Zm00001eb283640_gene:SORBI_3009G066900	gene:Zm00001eb001180_gene:SORBI_3001G531400	gene:Zm00001eb003420_gene:SORBI_3001G508900	gene:Zm00001eb069720_gene:SORBI_3006G223900	gene:Zm00001eb001180_gene:SORBI_3001G531400	gene:Zm00001eb003350_gene:SORBI_3001G509500	gene:Zm00001eb094050_gene:SORBI_3008G008400
gene:Zm00001eb000930_gene:SORBI_3001G533600	gene:Zm00001eb000990_gene:SORBI_3001G533200	gene:Zm00001eb000990_gene:SORBI_3001G533200	gene:Zm00001eb022000_gene:SORBI_3001G314500	gene:Zm00001eb022000_gene:SORBI_3001G314500	gene:Zm00001eb001140_gene:SORBI_3001G531800	gene:Zm00001eb003350_gene:SORBI_3001G509500	gene:Zm00001eb283800_gene:SORBI_3009G066900	gene:Zm00001eb001190_gene:SORBI_3001G531300	gene:Zm00001eb003470_gene:SORBI_3001G508400	gene:Zm00001eb069730_gene:SORBI_3006G223500	gene:Zm00001eb001190_gene:SORBI_3001G531300	gene:Zm00001eb003420_gene:SORBI_3001G508900	gene:Zm00001eb119840_gene:SORBI_3003G019700
gene:Zm00001eb000970_gene:SORBI_3001G533400	gene:Zm00001eb001000_gene:SORBI_3001G533100	gene:Zm00001eb001000_gene:SORBI_3001G533100	gene:Zm00001eb021990_gene:SORBI_3001G314800	gene:Zm00001eb021990_gene:SORBI_3001G314800	gene:Zm00001eb001150_gene:SORBI_3001G531700	gene:Zm00001eb003420_gene:SORBI_3001G508900	gene:Zm00001eb284440_gene:SORBI_3009G095640	gene:Zm00001eb001200_gene:SORBI_3001G531200	gene:Zm00001eb003650_gene:SORBI_3001G506300	gene:Zm00001eb069870_gene:SORBI_3006G223500	gene:Zm00001eb001200_gene:SORBI_3001G531200	gene:Zm00001eb003470_gene:SORBI_3001G508400	gene:Zm00001eb124080_gene:SORBI_3003G072000
gene:Zm00001eb000980_gene:SORBI_3001G533300	gene:Zm00001eb001010_gene:SORBI_3001G533000	gene:Zm00001eb001010_gene:SORBI_3001G533000	gene:Zm00001eb021970_gene:SORBI_3001G314900	gene:Zm00001eb021970_gene:SORBI_3001G314900	gene:Zm00001eb001170_gene:SORBI_3001G531500	gene:Zm00001eb003470_gene:SORBI_3001G508400	gene:Zm00001eb291220_gene:SORBI_3009G180400	gene:Zm00001eb001210_gene:SORBI_3001G531100	gene:Zm00001eb003660_gene:SORBI_3001G506100	gene:Zm00001eb069930_gene:SORBI_3006G223900	gene:Zm00001eb001210_gene:SORBI_3001G531100	gene:Zm00001eb003650_gene:SORBI_3001G506300	gene:Zm00001eb124890_gene:SORBI_3003G081601
gene:Zm00001eb000990_gene:SORBI_3001G533200	gene:Zm00001eb001020_gene:SORBI_3001G532900	gene:Zm00001eb001020_gene:SORBI_3001G532900	gene:Zm00001eb021950_gene:SORBI_3001G315000	gene:Zm00001eb021950_gene:SORBI_3001G315000	gene:Zm00001eb001180_gene:SORBI_3001G531400	gene:Zm00001eb003650_gene:SORBI_3001G506300	gene:Zm00001eb298830_gene:SORBI_3002G013400	gene:Zm00001eb001220_gene:SORBI_3001G531000	gene:Zm00001eb003750_gene:SORBI_3001G505000	gene:Zm00001eb074050_gene:SORBI_3006G178200	gene:Zm00001eb001220_gene:SORBI_3001G531000	gene:Zm00001eb003660_gene:SORBI_3001G506100	gene:Zm00001eb124940_gene:SORBI_3003G082200
gene:Zm00001eb001000_gene:SORBI_3001G533100	gene:Zm00001eb001040_gene:SORBI_3001G532700	gene:Zm00001eb001040_gene:SORBI_3001G532700	gene:Zm00001eb021940_gene:SORBI_3001G315100	gene:Zm00001eb021940_gene:SORBI_3001G315100	gene:Zm00001eb001190_gene:SORBI_3001G531300	gene:Zm00001eb003660_gene:SORBI_3001G506100	gene:Zm00001eb299020_gene:SORBI_3002G019200	gene:Zm00001eb001240_gene:SORBI_3001G530800	gene:Zm00001eb003870_gene:SORBI_3001G503600	gene:Zm00001eb076940_gene:SORBI_3006G152200	gene:Zm00001eb001240_gene:SORBI_3001G530800	gene:Zm00001eb003750_gene:SORBI_3001G505000	gene:Zm00001eb125030_gene:SORBI_3003G082200
gene:Zm00001eb001010_gene:SORBI_3001G533000	gene:Zm00001eb001050_gene:SORBI_3001G532600	gene:Zm00001eb001050_gene:SORBI_3001G532600	gene:Zm00001eb021920_gene:SORBI_3001G315200	gene:Zm00001eb021920_gene:SORBI_3001G315200	gene:Zm00001eb001200_gene:SORBI_3001G531200	gene:Zm00001eb003750_gene:SORBI_3001G505000	gene:Zm00001eb299170_gene:SORBI_3002G019200	gene:Zm00001eb001280_gene:SORBI_3001G530350	gene:Zm00001eb003880_gene:SORBI_3001G503500	gene:Zm00001eb077310_gene:SORBI_3006G152200	gene:Zm00001eb001280_gene:SORBI_3001G530350	gene:Zm00001eb003870_gene:SORBI_3001G503600	gene:Zm00001eb127690_gene:SORBI_3003G116000
gene:Zm00001eb001020_gene:SORBI_3001G532900	gene:Zm00001eb001060_gene:SORBI_3001G532501	gene:Zm00001eb001060_gene:SORBI_3001G532501	gene:Zm00001eb021900_gene:SORBI_3001G315400	gene:Zm00001eb021900_gene:SORBI_3001G315400	gene:Zm00001eb001210_gene:SORBI_3001G531100	gene:Zm00001eb003870_gene:SORBI_3001G503600	gene:Zm00001eb304950_gene:SORBI_3002G105600	gene:Zm00001eb001350_gene:SORBI_3001G530000	gene:Zm00001eb003900_gene:SORBI_3001G503200	gene:Zm00001eb077740_gene:SORBI_3006G148500	gene:Zm00001eb001350_gene:SORBI_3001G530000	gene:Zm00001eb003880_gene:SORBI_3001G503500	gene:Zm00001eb129050_gene:SORBI_3003G135000
gene:Zm00001eb001040_gene:SORBI_3001G532700	gene:Zm00001eb001070_gene:SORBI_3001G532400	gene:Zm00001eb001070_gene:SORBI_3001G532400	gene:Zm00001eb021890_gene:SORBI_3001G315500	gene:Zm00001eb021890_gene:SORBI_3001G315500	gene:Zm00001eb001220_gene:SORBI_3001G531000	gene:Zm00001eb003880_gene:SORBI_3001G503500	gene:Zm00001eb306030_gene:SORBI_3002G118700	gene:Zm00001eb001360_gene:SORBI_3001G529900	gene:Zm00001eb003920_gene:SORBI_3001G503000	gene:Zm00001eb078920_gene:SORBI_3006G129200	gene:Zm00001eb001360_gene:SORBI_3001G529900	gene:Zm00001eb003900_gene:SORBI_3001G503200	gene:Zm00001eb129340_gene:SORBI_3003G135000
gene:Zm00001eb001050_gene:SORBI_3001G532600	gene:Zm00001eb001110_gene:SORBI_3001G532100	gene:Zm00001eb001110_gene:SORBI_3001G532100	gene:Zm00001eb021880_gene:SORBI_3001G315800	gene:Zm00001eb021880_gene:SORBI_3001G315800	gene:Zm00001eb001240_gene:SORBI_3001G530800	gene:Zm00001eb003900_gene:SORBI_3001G503200	gene:Zm00001eb315150_gene:SORBI_3002G228100	gene:Zm00001eb001370_gene:SORBI_3001G529800	gene:Zm00001eb003930_gene:SORBI_3001G502900	gene:Zm00001eb081570_gene:SORBI_3006G095800	gene:Zm00001eb001370_gene:SORBI_3001G529800	gene:Zm00001eb003920_gene:SORBI_3001G503000	gene:Zm00001eb141500_gene:SORBI_3003G423500
gene:Zm00001eb001060_gene:SORBI_3001G532501	gene:Zm00001eb001120_gene:SORBI_3001G532000	gene:Zm00001eb001120_gene:SORBI_3001G532000	gene:Zm00001eb021840_gene:SORBI_3001G316000	gene:Zm00001eb021840_gene:SORBI_3001G316000	gene:Zm00001eb001280_gene:SORBI_3001G530350	gene:Zm00001eb003920_gene:SORBI_3001G503000	gene:Zm00001eb323310_gene:SORBI_3002G327700	gene:Zm00001eb001430_gene:SORBI_3001G529600	gene:Zm00001eb004030_gene:SORBI_3001G502200	gene:Zm00001eb081580_gene:SORBI_3006G095800	gene:Zm00001eb001430_gene:SORBI_3001G529600	gene:Zm00001eb003930_gene:SORBI_3001G502900	gene:Zm00001eb148240_gene:SORBI_3003G352700
gene:Zm00001eb001070_gene:SORBI_3001G532400	gene:Zm00001eb001130_gene:SORBI_3001G531900	gene:Zm00001eb001130_gene:SORBI_3001G531900	gene:Zm00001eb021830_gene:SORBI_3001G316100	gene:Zm00001eb021830_gene:SORBI_3001G316100	gene:Zm00001eb001350_gene:SORBI_3001G530000	gene:Zm00001eb003930_gene:SORBI_3001G502900	gene:Zm00001eb323490_gene:SORBI_3002G329900	gene:Zm00001eb001440_gene:SORBI_3001G529500	gene:Zm00001eb004140_gene:SORBI_3001G501600	gene:Zm00001eb083310_gene:SORBI_3006G076400	gene:Zm00001eb001440_gene:SORBI_3001G529500	gene:Zm00001eb004030_gene:SORBI_3001G502200	gene:Zm00001eb148280_gene:SORBI_3003G352700
gene:Zm00001eb001110_gene:SORBI_3001G532100	gene:Zm00001eb001140_gene:SORBI_3001G531800	gene:Zm00001eb001140_gene:SORBI_3001G531800	gene:Zm00001eb021820_gene:SORBI_3001G316200	gene:Zm00001eb021820_gene:SORBI_3001G316200	gene:Zm00001eb001360_gene:SORBI_3001G529900	gene:Zm00001eb004030_gene:SORBI_3001G502200	gene:Zm00001eb332620_gene:SORBI_3003G135000	gene:Zm00001eb001490_gene:SORBI_3001G528800	gene:Zm00001eb004180_gene:SORBI_3001G501100	gene:Zm00001eb094050_gene:SORBI_3008G008400	gene:Zm00001eb001490_gene:SORBI_3001G528800	gene:Zm00001eb004140_gene:SORBI_3001G501600	gene:Zm00001eb155710_gene:SORBI_3003G268900
gene:Zm00001eb001120_gene:SORBI_3001G532000	gene:Zm00001eb001150_gene:SORBI_3001G531700	gene:Zm00001eb001150_gene:SORBI_3001G531700	gene:Zm00001eb021800_gene:SORBI_3001G316300	gene:Zm00001eb021800_gene:SORBI_3001G316300	gene:Zm00001eb001370_gene:SORBI_3001G529800	gene:Zm00001eb004140_gene:SORBI_3001G501600	gene:Zm00001eb336020_gene:SORBI_3003G072000	gene:Zm00001eb001500_gene:SORBI_3001G528900	gene:Zm00001eb004190_gene:SORBI_3001G501000	gene:Zm00001eb119840_gene:SORBI_3003G019700	gene:Zm00001eb001500_gene:SORBI_3001G528900	gene:Zm00001eb004180_gene:SORBI_3001G501100	gene:Zm00001eb163300_gene:SORBI_3008G008300
gene:Zm00001eb001130_gene:SORBI_3001G531900	gene:Zm00001eb001170_gene:SORBI_3001G531500	gene:Zm00001eb001170_gene:SORBI_3001G531500	gene:Zm00001eb021790_gene:SORBI_3001G316400	gene:Zm00001eb021790_gene:SORBI_3001G316400	gene:Zm00001eb001430_gene:SORBI_3001G529600	gene:Zm00001eb004170_gene:SORBI_3001G501300	gene:Zm00001eb338510_gene:SORBI_3003G019700	gene:Zm00001eb001530_gene:SORBI_3001G528300	gene:Zm00001eb004200_gene:SORBI_3001G500900	gene:Zm00001eb124080_gene:SORBI_3003G072000	gene:Zm00001eb001530_gene:SORBI_3001G528300	gene:Zm00001eb004190_gene:SORBI_3001G501000	gene:Zm00001eb163310_gene:SORBI_3008G008400
gene:Zm00001eb001140_gene:SORBI_3001G531800	gene:Zm00001eb001180_gene:SORBI_3001G531400	gene:Zm00001eb001180_gene:SORBI_3001G531400	gene:Zm00001eb021780_gene:SORBI_3001G316500	gene:Zm00001eb021780_gene:SORBI_3001G316500	gene:Zm00001eb001440_gene:SORBI_3001G529500	gene:Zm00001eb004190_gene:SORBI_3001G501000	gene:Zm00001eb338560_gene:SORBI_3003G019800	gene:Zm00001eb001550_gene:SORBI_3001G528200	gene:Zm00001eb004290_gene:SORBI_3001G499500	gene:Zm00001eb124890_gene:SORBI_3003G081601	gene:Zm00001eb001550_gene:SORBI_3001G528200	gene:Zm00001eb004200_gene:SORBI_3001G500900	gene:Zm00001eb133810_gene:SORBI_3008G080100
gene:Zm00001eb001150_gene:SORBI_3001G531700	gene:Zm00001eb001190_gene:SORBI_3001G531300	gene:Zm00001eb001190_gene:SORBI_3001G531300	gene:Zm00001eb021760_gene:SORBI_3001G316700	gene:Zm00001eb021760_gene:SORBI_3001G316700	gene:Zm00001eb001490_gene:SORBI_3001G528800	gene:Zm00001eb004200_gene:SORBI_3001G500900	gene:Zm00001eb360230_gene:SORBI_3003G256700	gene:Zm00001eb001560_gene:SORBI_3001G528100	gene:Zm00001eb004410_gene:SORBI_3001G498300	gene:Zm00001eb127690_gene:SORBI_3003G116000	gene:Zm00001eb001560_gene:SORBI_3001G528100	gene:Zm00001eb004290_gene:SORBI_3001G499500	gene:Zm00001eb138100_gene:SORBI_3008G104500
